District,No. of Aadhaar Seeded,Rupay Card Activated,No. of Rupay Card Issued,Deposits Held in A/C Amt,No. of Zero Balance A/C,Total No. PMJDY,Female No.,Male No.,Urban No.,Rural No.
East Garo Hills,7757,9800,24901,1375.13,1942,34003,20254,13749,8373,25630
East Jaintia Hills,12524,8340,21542,3905.6,1012,42585,26010,16575,1802,40783
East Khasi Hills,42352,53626,81311,18879.81,15789,160511,94401,66110,55904,104609
Eastern West Khasi Hills,8387,6701,15381,3513.14,1121,43191,21530,21661,4661,38530
North Garo Hills,9190,12772,40933,1365.19,1064,48220,27189,21031,3755,44465
Ri Bhoi,15530,19287,38291,4871.93,2726,63549,38525,25024,6933,56617
South Garo Hills,5497,6365,12632,886.03,1892,22219,12406,9813,5627,16592
South West Garo Hills,11314,16398,36865,1902.45,1478,50495,27285,23210,3514,46981
South West Khasi Hills,3702,6159,12909,1331.31,1569,18893,12261,6632,1507,17386
West Garo Hills,37474,52563,142252,5418.17,10539,187814,108154,79660,20666,167148
West Jaintia Hills,15477,18051,34261,4860.82,2248,68018,44680,23338,14280,53738
West Khasi Hills,8330,8378,19727,2626.98,1576,48302,29588,18714,13697,34605
