District,NPS Amt.% NPA,Total Non-Priorityrityrityrity NPA Amt,Tot NPA Priorityrityrity No. Sec Non,Total NPS O/S Amt,Total NPS O/S No.,Other Amt (NPS),Other No. (NPS),Personal Loan Amt,Personal Loan No.,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,1.56,380.09,229,24361.76,6616,20458.73,5250,3127.57,1292,771.94,74,3.52,0,0,0
East Khasi Hills,0.38,2931.32,1671,772956.47,99250,616927.85,71727,70593.94,22785,74993.01,4129,10433.69,605,7.98,4
Ri Bhoi,1.03,1432.82,593,139433.44,27944,111362.54,22735,8588.28,3814,19366.13,1392,116.49,3,0,0
West Garo Hills,2.5,2437.8,1347,97631.65,25852,73204.13,18969,12706.27,5980,11364.02,894,357.23,9,0,0
West Khasi Hills,0.86,121.67,68,14223.95,4116,9149.68,2567,3984.07,1463,1058,75,31.89,10,0.31,1
