District,Total ACP Disbursement Amt (NPS),Total ACP Disbursement No. (NPS),Other NPS Amt,A/C NPS Others,Personal Loans Amt (NPS),Personal Loans A/C (NPS),Housing Amt (NPS),Housing A/C (NPS),Amt. (NPS) Education,A/C (NPS) Education,Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,3896.15,880,3142.7,718,708.92,153,44.53,9,0,0,0,0
East Jaintia Hills,5319.56,974,4454.99,796,715.55,169,147.52,7,0,0,1.5,2
East Khasi Hills,219322,19342,196497.49,15331,16630.25,3232,4213.14,256,1978.17,520,2.95,3
North Garo Hills,1466.75,302,1263.06,233,179.68,63,24.01,6,0,0,0,0
Ri Bhoi,22711.95,2862,18598.11,2358,1527.14,325,2582.2,178,0,0,4.5,1
South Garo Hills,1465.06,279,1178.13,216,264.27,56,22.66,7,0,0,0,0
West Garo Hills,12820.63,3273,10188.64,2747,2201.34,476,430.65,50,0,0,0,0
West Khasi Hills,1905.22,457,1031.33,251,848.82,199,23.92,6,0,0,1.15,1
