District,Total Minority Disbursement Amt,Total Minority Disbursement No.,Jains Amt,Jains No.,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,265.45,117,0,0,0.47,1,0,0,185.76,84,79.22,32
East Jaintia Hills,1523.95,488,0,0,0.2,1,0,0,289.67,55,1234.08,432
East Khasi Hills,22252.85,9898,39.01,7,350.12,158,112.25,21,2628.28,480,19123.19,9232
North Garo Hills,104.2,61,0,0,0,0,0,0,23.91,8,80.29,53
Ri Bhoi,6134.37,1981,0,0,2158,5,18.8,3,1954.12,295,2003.45,1678
South Garo Hills,43.45,22,0,0,0,0,0,0,20.4,2,23.05,20
West Garo Hills,4022.97,1686,0,0,0,0,0,0,1725.33,495,2297.64,1191
West Jaintia Hills,3583.75,1358,1.8,1,0,0,0,0,31.73,15,3550.22,1342
West Khasi Hills,1453.17,831,0,0,0.95,1,1.18,1,54.47,58,1396.57,771
