District,Operative CASA,Aadhaar Seeded CASA,Authenticated CASA
East Garo Hills,116535,21004,12176
East Jaintia Hills,133974,31259,5880
East Khasi Hills,1052580,197590,141395
Eastern West Khasi Hills,108743,19308,1791
North Garo Hills,131597,20376,6458
Ri Bhoi,292749,47654,13246
South Garo Hills,88845,18062,6172
South West Garo Hills,136368,35648,13431
South West Khasi Hills,78528,7899,1055
West Garo Hills,491614,87811,58084
West Jaintia Hills,315926,50666,19448
West Khasi Hills,148447,28933,4477
