district,advance_amount_a,current_c_d_ratio,deposit_amount_d
Baksa,31993.93,45.38,70507.15
Barpeta,159347.69,52.03,306280.30
Biswanath,48661.77,52.63,92463.87
Bongaigaon,86406.36,39.18,220516.79
Cachar,232358.03,35.79,649290.77
Charaideo,22640.50,40.77,55525.88
Chirang,30293.41,32.87,92152.63
Darrang,79436.70,54.88,144746.54
Dhemaji,48908.81,51.54,94890.73
Dhubri,102569.11,46.89,218739.18
Goalpara,60389.19,39.75,151941.16
Golaghat,159154.17,60.05,265048.57
Hailakandi,41867.22,35.33,118518.65
Hojai,56288.32,35.96,156528.58
Jorhat,241926.32,46.28,522717.53
Kamrup,219479.44,51.96,422378.32
Kamrup Metro,241005.29,127.44,189108.03
Karbi Anglong,65998.14,44.75,147487.97
Karimganj,82413.55,30.67,268733.13
Kokrajhar,56713.47,26.81,211526.92
Lakhimpur,2132.46,15.26,13977.00
Majuli,9586.70,45.03,21291.69
Nagaon,223215.90,49.89,447438.43
Nalbari,85215.82,42.49,200564.81
Sivasagar,170324.70,42.62,399626.48
Sonitpur,192630.38,46.67,412734.01
Tinsukia,224526.26,40.76,550792.47
Udalguri,54656.02,60.13,90903.40
