district,bc,rural_atm,rural_br,semi_urban_atm,semi_urban_br,total_atm,total_br,urban_atm,urban_br
Baksa,159,19,33,2,2,21,35,0,0
Barpeta,373,62,50,84,39,149,91,3,2
Biswanath,62,18,29,31,4,50,33,1,0
Bongaigaon,129,35,20,75,31,112,52,2,1
Cachar,321,56,62,28,12,217,128,133,54
Charaideo,47,11,14,7,6,18,20,0,0
Chirang,120,6,16,6,5,12,21,0,0
Darrang,199,37,26,53,23,91,50,1,1
Dhemaji,184,24,18,21,16,45,34,0,0
Dhubri,382,37,27,58,29,101,59,6,3
Goalpara,261,18,29,43,23,62,52,1,0
Golaghat,222,36,47,66,41,107,90,5,2
Hailakandi,173,21,16,33,19,54,36,0,1
Hojai,70,16,16,13,17,30,34,1,1
Jorhat,199,52,45,105,42,214,112,57,25
Kamrup,268,98,85,65,21,166,114,3,8
Kamrup Metro,0,0,0,19,8,39,17,20,9
Karbi Anglong,109,13,53,25,17,38,71,0,1
Karimganj,191,30,39,54,28,89,68,5,1
Kokrajhar,172,12,22,39,17,51,39,0,0
Lakhimpur,0,0,0,6,4,7,5,1,1
Majuli,7,3,5,2,1,5,6,0,0
Nagaon,625,67,58,73,31,210,115,70,26
Nalbari,139,39,46,61,18,102,66,2,2
Sivasagar,167,59,35,82,43,146,80,5,2
Sonitpur,261,66,53,123,47,193,105,4,5
Tinsukia,220,56,53,63,42,193,130,74,35
Udalguri,237,11,23,22,10,34,34,1,1
