district,cy_kishore_amt,cy_kishore_no,cy_sishu_amt,cy_sishu_no,cy_tarun_amt,cy_tarun_no,kishore_o_s_amt,kishore_o_s_no,sishu_o_s_amt,sishu_o_s_no,tarun_o_s_amt,tarun_o_s_no,total_o_s_ac,total_o_s_amt,total_sanctioned_ac,total_sanctioned_amt
Barpeta,93.91,77,18.90,61,40.00,3,0.00,0,0.00,0,0.00,0,0,0.00,141,152.81
Dima Hasao,16.41,10,1.36,3,5.40,1,16.41,10,1.36,3,5.40,1,14,23.17,14,23.17
Kamrup Metro,62.01,21,0.30,1,107.48,12,2063.70,674,58.82,168,1035.34,137,979,3157.86,34,169.79
Sivasagar,0.00,0,0.00,0,0.00,0,0.15,7,0.01,1,0.16,2,10,0.32,0,0.00
