District,no_of_bank_mitra
Bahraich,277.0
Ballia,550.0
Balrampur,102.0
Banda,122.0
Barabanki,172.0
Bareilly,376.0
Basti,752.0
Bhadohi,243.0
Bijnor,393.0
Budaun,330.0
Chandauli,321.0
Chitrakoot,80.0
Deoria,754.0
Etawah,338.0
Farrukhabad,119.0
Fatehpur,422.0
Firozabad,154.0
Ghaziabad,81.0
Ghazipur,246.0
Gonda,85.0
Gorakhpur,749.0
Hathras,67.0
Jaunpur,466.0
Kannauj,338.0
Kanpur Nagar,148.0
Kasganj,93.0
Kaushambi,199.0
Kheri,227.0
Kushi Nagar,286.0
Lalitpur,164.0
Lucknow,196.0
Mainpuri,248.0
Muzaffarnagar,104.0
Pilibhit,230.0
Prayagraj,827.0
Rae Bareli,341.0
Rampur,107.0
Saharanpur,220.0
Shamli,86.0
Sonbhadra,279.0
Sultanpur,554.0
