District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no
Bahraich,903.0,804.0,86.0,13.0,16.08
Ballia,553.0,519.0,30.0,10.38,
Balrampur,443.0,415.0,15.0,13.0,8.3
Banda,745.0,683.0,53.0,13.66,
Barabanki,1982.0,1787.0,184.0,11.0,35.74
Bhadohi,313.0,281.0,31.0,5.62,
Bijnor,1319.0,1185.0,58.0,76.0,23.7
Budaun,1093.0,950.0,52.0,91.0,19.0
Bulandshahr,892.0,782.0,72.0,38.0,15.64
Chandauli,292.0,275.0,15.0,5.5,
Etah,1537.0,1408.0,,,
Etawah,280.0,263.0,,,
Farrukhabad,1074.0,976.0,,,
Fatehpur,748.0,687.0,51.0,10.0,
Firozabad,761.0,713.0,44.0,14.26,
Gautam Buddha Nagar,765.0,701.0,42.0,22.0,14.02
Ghaziabad,1950.0,1836.0,72.0,36.72,
Ghazipur,684.0,645.0,38.0,12.9,
Gonda,847.0,748.0,61.0,38.0,14.96
Gorakhpur,985.0,926.0,18.52,,
Hamirpur,272.0,234.0,4.68,,
Hapur,363.0,347.0,6.94,,
Hardoi,1400.0,1279.0,116.0,25.58,
Hathras,265.0,241.0,20.0,4.82,
Jalaun,518.0,472.0,9.44,,
Jaunpur,563.0,530.0,10.6,,
Kannauj,578.0,520.0,10.4,,
Kaushambi,242.0,84.0,,,
Kheri,2852.0,2571.0,200.0,81.0,51.42
Kushi Nagar,336.0,312.0,6.24,,
Lalitpur,205.0,188.0,24.0,3.76,
Lucknow,2558.0,2398.0,47.96,,
Maharajganj,300.0,218.0,4.36,,
Mahoba,486.0,438.0,8.0,8.76,
Mainpuri,753.0,668.0,84.0,13.36,
Mathura,934.0,876.0,47.0,11.0,17.52
Mau,326.0,304.0,17.0,5.0,6.08
Meerut,2208.0,2086.0,96.0,26.0,41.72
Mirzapur,832.0,750.0,63.0,19.0,15.0
Moradabad,2951.0,2601.0,129.0,221.0,52.02
Muzaffarnagar,1370.0,1218.0,91.0,61.0,24.36
Pilibhit,891.0,827.0,49.0,15.0,16.54
Pratapgarh,956.0,862.0,72.0,22.0,17.24
Prayagraj,1443.0,1331.0,94.0,18.0,26.62
Rae Bareli,1143.0,1024.0,93.0,26.0,20.48
Rampur,1486.0,1341.0,69.0,76.0,26.82
Saharanpur,4297.0,4041.0,198.0,58.0,80.82
Sambhal,1096.0,971.0,47.0,78.0,19.42
Sant Kabeer Nagar,155.0,148.0,6.0,2.96,
Shamli,370.0,331.0,23.0,16.0,6.62
Shravasti,220.0,196.0,20.0,3.92,
Siddharth Nagar,149.0,138.0,10.0,2.76,
Sitapur,1468.0,1345.0,116.0,26.9,
Sonbhadra,450.0,388.0,45.0,17.0,7.76
Sultanpur,1030.0,954.0,73.0,19.08,
Unnao,1115.0,1017.0,91.0,20.34,
Varanasi,1205.0,1136.0,57.0,12.0,22.72
