District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Bahraich,1026042.0,244012.0,591062.0,678992.0,1270054.0,1214934.0,673.56,82666.0,618071.0,1047792.0,86.24,50.87
Ballia,1138676.0,616726.0,779626.0,975776.0,1755402.0,1659328.0,885.22,145200.0,1072142.0,1448988.0,87.32,64.61
Balrampur,684187.0,93549.0,365219.0,412517.0,777736.0,710851.0,471.81,71479.0,443612.0,692386.0,97.4,62.41
Banda,515566.0,134122.0,328824.0,320864.0,649688.0,538822.0,366.76,30935.0,248411.0,527091.0,97.82,46.1
Barabanki,1234943.0,105425.0,597698.0,742670.0,1340368.0,1303848.0,737.15,81999.0,994360.0,1179131.0,90.43,76.26
Bareilly,1509320.0,1130781.0,1216065.0,2346846.0,2257805.0,1187.41,106346.0,1720216.0,2124511.0,94.1,76.19,
Basti,1099770.0,143047.0,577232.0,665585.0,1242817.0,1126241.0,646.25,118459.0,723978.0,939694.0,83.44,64.28
Bhadohi,943071.0,153684.0,465369.0,631386.0,1096755.0,968984.0,495.07,94462.0,572979.0,956855.0,98.75,59.13
Bijnor,1280825.0,341240.0,674700.0,947365.0,1622065.0,1533635.0,669.64,177444.0,1152974.0,1410467.0,91.97,75.18
Budaun,1168627.0,575219.0,809189.0,934657.0,1743846.0,1718911.0,578.55,93204.0,1384934.0,1487425.0,86.53,80.57
Bulandshahr,999810.0,436524.0,626498.0,809836.0,1436334.0,1347425.0,728.76,103902.0,1122801.0,1179621.0,87.55,83.33
Chitrakoot,343615.0,77020.0,212394.0,208241.0,420635.0,364523.0,207.94,22286.0,208624.0,350567.0,96.17,
Deoria,1055048.0,463950.0,639199.0,1518998.0,1420871.0,719.12,160584.0,878502.0,1218713.0,85.77,61.83,
Etah,404308.0,432420.0,395612.0,441116.0,836728.0,791043.0,358.93,76385.0,649211.0,672202.0,84.98,82.07
Etawah,400672.0,278452.0,314636.0,364488.0,679124.0,636951.0,331.35,56192.0,447490.0,572636.0,89.9,70.26
Farrukhabad,590439.0,308294.0,416710.0,482023.0,898733.0,794391.0,375.26,49667.0,686861.0,771423.0,97.11,86.46
Fatehpur,1058980.0,253275.0,652848.0,659407.0,1312255.0,1213049.0,1026.77,46482.0,1014625.0,1152545.0,95.01,83.64
Firozabad,579443.0,726556.0,615248.0,690751.0,1305999.0,1182974.0,407.99,102171.0,1020792.0,1075763.0,90.94,86.29
Gautam Buddha Nagar,296240.0,841831.0,704997.0,433074.0,1138071.0,1034735.0,610.14,118869.0,906457.0,938329.0,90.68,87.6
Ghaziabad,221772.0,888238.0,522684.0,587326.0,1110010.0,1048940.0,523.22,107599.0,828201.0,892029.0,85.04,78.96
Ghazipur,1620331.0,220389.0,848363.0,992357.0,1840720.0,1722413.0,1056.73,189140.0,910141.0,1571214.0,91.22,52.84
Gonda,1134036.0,350610.0,694891.0,789755.0,1484646.0,1343446.0,2828.54,124674.0,871758.0,1301863.0,96.9,64.89
Gorakhpur,1457112.0,736376.0,899172.0,1294316.0,2193488.0,2091232.0,981.92,181297.0,1256776.0,1753480.0,83.85,60.1
Hamirpur,358178.0,77141.0,214447.0,220872.0,435319.0,388436.0,237.4,22941.0,289341.0,357122.0,91.94,74.49
Hapur,256898.0,121322.0,165575.0,212645.0,378220.0,309120.0,190.04,44659.0,257091.0,298417.0,96.54,83.17
Hardoi,1587027.0,317228.0,890804.0,1013451.0,1904255.0,1807854.0,1027.93,106231.0,1461148.0,1605201.0,88.79,80.82
Hathras,391578.0,275352.0,303911.0,363019.0,666930.0,614243.0,266.86,57082.0,509658.0,565647.0,92.09,82.97
Jalaun,424435.0,176500.0,288785.0,312150.0,600935.0,544748.0,316.87,28301.0,339554.0,479617.0,88.04,62.33
Jaunpur,2284538.0,399060.0,1173083.0,1510515.0,2683598.0,2482349.0,1569.57,330325.0,1272226.0,2433755.0,98.04,51.25
Jhansi,384783.0,349732.0,344907.0,389608.0,734515.0,683107.0,334.65,61201.0,516471.0,609972.0,89.29,75.61
Kannauj,723417.0,113127.0,390113.0,446431.0,836544.0,733283.0,364.0,57807.0,619154.0,719493.0,98.12,84.44
Kanpur Dehat,697391.0,145065.0,433134.0,409322.0,842456.0,805641.0,448.01,47645.0,631771.0,751299.0,93.25,78.42
Kanpur Nagar,578126.0,1075522.0,790529.0,863119.0,1653648.0,1525987.0,956.3,96190.0,1274769.0,1408384.0,92.29,83.54
Kasganj,269497.0,398239.0,304817.0,362919.0,667736.0,624267.0,273.79,46532.0,507230.0,555212.0,88.94,81.25
Kaushambi,750583.0,94854.0,415797.0,429640.0,845437.0,775301.0,542.0,37008.0,644692.0,755769.0,97.48,83.15
Kheri,1704934.0,236808.0,914540.0,1027202.0,1941742.0,1784969.0,783.8,126090.0,945651.0,1649696.0,92.42,52.98
Kushi Nagar,1616105.0,321906.0,885142.0,1052869.0,1938011.0,1833553.0,826.41,258413.0,1024879.0,1545653.0,84.3,55.9
Lalitpur,439600.0,178110.0,297520.0,320190.0,617710.0,582625.0,204.53,42804.0,420695.0,523605.0,89.87,72.21
Maharajganj,1139776.0,151007.0,552133.0,738650.0,1290783.0,1098199.0,515.31,141810.0,670399.0,1001689.0,91.21,61.05
Mahoba,286488.0,82618.0,179707.0,189399.0,369106.0,307617.0,225.25,19662.0,191521.0,298295.0,96.97,62.26
Mainpuri,604655.0,396077.0,482191.0,518541.0,1000732.0,885148.0,386.95,53925.0,791872.0,810309.0,91.55,89.46
Mathura,589650.0,355911.0,460645.0,484916.0,945561.0,847790.0,459.26,80875.0,722990.0,785326.0,92.63,85.28
Mau,1102224.0,359069.0,616737.0,,,,,,,,,
Meerut,637401.0,666475.0,579545.0,724331.0,1303876.0,1133330.0,640.76,156204.0,886863.0,1018868.0,89.9,78.25
Mirzapur,908766.0,213951.0,520720.0,601997.0,1122717.0,1002138.0,632.29,67517.0,655534.0,918324.0,91.64,65.41
Moradabad,534546.0,682820.0,553281.0,664085.0,1217366.0,1056737.0,444.55,103696.0,838457.0,1054127.0,99.75,79.34
Muzaffarnagar,621981.0,403458.0,462255.0,563184.0,1025439.0,952589.0,515.02,68010.0,700545.0,829397.0,87.07,73.54
Pilibhit,907766.0,237273.0,536350.0,608689.0,1145039.0,1074580.0,500.48,48431.0,867705.0,1037356.0,96.54,80.75
Pratapgarh,1681166.0,74263.0,862861.0,,,,,,,,,
Rae Bareli,925351.0,157415.0,539668.0,543098.0,1082766.0,1022067.0,934.85,41189.0,782377.0,984714.0,96.35,76.55
Rampur,658546.0,323913.0,473774.0,508685.0,982459.0,914445.0,535.27,71988.0,791940.0,898356.0,98.24,86.6
Sambhal,622234.0,396328.0,459481.0,559081.0,1018562.0,924753.0,259.3,78197.0,707173.0,831863.0,89.96,76.47
Sant Kabeer Nagar,749468.0,94941.0,376664.0,467745.0,844409.0,769595.0,377.86,103809.0,473447.0,637281.0,82.81,61.52
Shahjahanpur,1357441.0,471158.0,907654.0,920945.0,1828599.0,1713581.0,852.29,74325.0,1478576.0,1651316.0,96.37,86.29
Shamli,274670.0,210779.0,215814.0,,,,,,,,,
Shravasti,356535.0,8506.0,174997.0,190044.0,365041.0,348617.0,260.14,18805.0,145576.0,311528.0,89.36,41.76
Siddharth Nagar,1191483.0,58798.0,537467.0,712814.0,1250281.0,1135960.0,618.37,103892.0,725158.0,1026214.0,90.34,63.84
Sitapur,1444908.0,328860.0,818076.0,955692.0,1773768.0,1689612.0,782.55,95463.0,810350.0,1457784.0,86.28,47.96
Sonbhadra,687828.0,48762.0,355907.0,380683.0,736590.0,661591.0,370.22,55400.0,449146.0,605201.0,91.48,67.89
Sultanpur,1398093.0,143458.0,745353.0,796198.0,1541551.0,1504911.0,1197.23,49223.0,1174224.0,1405583.0,93.4,78.03
Unnao,932796.0,192969.0,515203.0,610562.0,1125765.0,1060809.0,802.71,66590.0,839834.0,964630.0,90.93,79.17
Varanasi,1159585.0,718705.0,863225.0,1015065.0,1878290.0,1834180.0,1289.27,141756.0,1163949.0,1577142.0,85.99,63.46
