District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no
Bahraich,174.0,103.0,55.0,16.0,2.06
Balrampur,21.0,0.42,,,
Banda,258.0,170.0,56.0,32.0,3.4
Barabanki,367.0,223.0,113.0,31.0,4.46
Bareilly,248.0,181.0,36.0,31.0,3.62
Basti,35.0,21.0,6.0,8.0,0.42
Bhadohi,26.0,14.0,11.0,0.28,
Bijnor,243.0,192.0,49.0,2.0,3.84
Budaun,120.0,104.0,14.0,2.0,2.08
Bulandshahr,281.0,210.0,61.0,10.0,4.2
Chandauli,80.0,62.0,17.0,1.24,
Fatehpur,103.0,77.0,,,
Gonda,120.0,91.0,1.82,,
Gorakhpur,879.0,159.0,10.26,,
Hamirpur,117.0,29.0,,,
Hardoi,391.0,242.0,105.0,44.0,
Jalaun,209.0,134.0,64.0,2.68,
Jaunpur,107.0,85.0,1.7,,
Kanpur Nagar,355.0,278.0,,,
Mau,55.0,35.0,18.0,0.7,
Meerut,289.0,5.78,,,
Mirzapur,199.0,128.0,59.0,2.56,
Moradabad,262.0,215.0,31.0,4.3,
Pilibhit,134.0,109.0,,,
Pratapgarh,82.0,62.0,14.0,,
Prayagraj,154.0,110.0,36.0,2.2,
Rampur,179.0,148.0,23.0,2.96,
Saharanpur,235.0,186.0,3.72,,
