District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Ayodhya,65949.0,220.84,219.03,32460.0,402.51,398.38,2494.0,209.36
Balrampur,21333.0,70.87,69.57,79.77,69.4,709.0,159.26,155.56
Banda,39540.0,139.58,138.05,16242.0,189.45,187.45,1150.0,87.92
Barabanki,23698.0,76.17,74.9,256.06,247.87,2057.0,163.3,155.08
Bareilly,112022.0,382.58,376.56,43337.0,500.4,496.51,3434.0,277.45
Basti,82666.0,290.9,289.1,29762.0,325.41,322.82,1652.0,131.5
Bhadohi,47225.0,172.97,170.63,25563.0,294.39,291.32,1103.0,88.0
Bijnor,123884.0,473.53,466.29,515.21,500.9,3132.0,241.4,229.35
Budaun,45659.0,162.05,158.83,15345.0,176.99,167.68,1630.0,126.82
Bulandshahr,103735.0,390.42,386.02,52011.0,503.78,493.58,2614.0,209.34
Chandauli,63385.0,226.85,204.91,28187.0,290.77,287.2,1055.0,86.45
Chitrakoot,33032.0,120.81,119.08,12240.0,126.89,126.19,930.0,63.64
Deoria,143911.0,520.4,518.05,63582.0,610.15,599.66,2483.0,207.88
Etah,25625.0,83.69,82.77,129.65,128.57,1118.0,85.3,84.71
Etawah,9194.0,27.29,26.01,8092.0,120.37,114.98,1129.0,92.1
Farrukhabad,13420.0,40.41,39.48,8114.0,112.28,108.31,1075.0,84.72
Fatehpur,27714.0,97.3,95.52,16284.0,246.95,245.93,1612.0,132.52
Firozabad,63716.0,209.96,207.04,27691.0,274.17,270.83,1582.0,128.83
Gautam Buddha Nagar,16029.0,59.86,58.38,8919.0,160.64,155.19,3597.0,3187.03
Ghaziabad,71059.0,210.66,206.09,39140.0,426.12,419.16,4677.0,381.15
Ghazipur,93031.0,343.04,338.1,42903.0,471.04,464.7,2140.0,175.91
Gonda,41567.0,146.99,144.67,15129.0,205.86,195.83,151.11,145.14
Gorakhpur,307485.0,1117.52,1112.5,130198.0,1202.67,1196.4,5218.0,435.55
Hamirpur,27651.0,96.82,96.73,5809.0,78.46,77.92,428.0,34.63
Hapur,55525.0,203.1,200.16,31796.0,293.55,290.63,1169.0,92.76
Hardoi,32564.0,114.31,112.43,9223.0,186.23,180.94,2174.0,172.03
Hathras,33983.0,123.99,122.57,19048.0,187.58,185.73,1086.0,88.83
Jalaun,30284.0,101.25,100.32,6778.0,94.77,92.68,1146.0,83.25
Jaunpur,127481.0,491.35,458.31,49619.0,522.34,518.08,2603.0,215.45
Jhansi,96582.0,312.28,309.54,25173.0,259.98,251.78,1745.0,138.97
Kannauj,22226.0,83.27,81.93,15464.0,190.57,185.81,1696.0,124.34
Kanpur Dehat,20712.0,76.9,75.63,6753.0,125.64,123.94,827.0,68.91
Kanpur Nagar,56679.0,174.35,167.69,34873.0,508.58,501.84,5844.0,495.07
Kaushambi,31848.0,112.05,109.54,12226.0,165.19,164.36,792.0,64.62
Kheri,45620.0,157.41,153.31,16365.0,214.64,212.19,1659.0,124.73
Kushi Nagar,229503.0,818.03,814.39,85933.0,767.54,761.85,1890.0,153.76
Lalitpur,9106.0,26.28,25.89,2833.0,51.94,46.68,695.0,50.84
Lucknow,116511.0,338.33,335.87,42689.0,618.01,604.22,7726.0,637.11
Mahoba,25184.0,91.13,89.89,4616.0,58.23,57.58,347.0,25.57
Mainpuri,7203.0,15.21,14.8,9236.0,158.13,154.25,1649.0,131.73
Mathura,84638.0,306.64,303.39,32571.0,306.9,304.43,2027.0,163.13
Mau,55393.0,189.67,188.52,22670.0,286.56,283.86,1372.0,110.61
Meerut,98507.0,350.1,345.32,48437.0,524.76,517.37,4524.0,366.08
Mirzapur,86011.0,310.99,287.26,34740.0,365.36,363.79,2246.0,172.57
Moradabad,67497.0,241.61,235.67,33410.0,386.33,375.99,3143.0,251.39
Muzaffarnagar,136985.0,499.04,490.46,55266.0,525.22,510.56,2569.0,208.72
Pilibhit,12168.0,43.61,42.16,5174.0,103.49,101.34,1146.0,88.25
Pratapgarh,41861.0,153.79,152.49,20806.0,248.89,247.08,892.0,71.85
Rae Bareli,63365.0,224.81,222.21,27408.0,399.01,396.9,2654.0,225.18
Rampur,44801.0,152.01,147.73,18973.0,216.4,208.31,1266.0,102.83
Saharanpur,210366.0,760.41,749.55,97458.0,845.37,834.68,2632.0,211.76
Sant Kabeer Nagar,47403.0,172.83,171.7,14881.0,208.91,207.43,1130.0,93.89
Shahjahanpur,44442.0,155.94,153.96,13723.0,193.14,191.55,1729.0,142.87
Shamli,52277.0,183.16,181.88,23471.0,225.76,222.58,828.0,66.7
Shravasti,12328.0,36.27,36.19,4132.0,78.02,77.57,759.0,55.02
Siddharth Nagar,33336.0,113.78,112.81,10209.0,165.08,163.07,1316.0,110.87
Sitapur,62113.0,210.47,208.52,19365.0,245.54,242.11,1793.0,141.97
Sultanpur,52799.0,191.36,189.89,22335.0,279.27,277.13,1775.0,149.39
Unnao,25978.0,90.22,88.15,13495.0,191.71,187.15,1497.0,115.15
Varanasi,179132.0,624.89,620.83,85282.0,884.99,877.89,5533.0,534.78
