District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Agra,11.0,9.0,9.0,0.0,9.0,0.0
Aligarh,7.0,7.0,7.0,0.0,7.0,0.0
Ambedkar Nagar,4471.0,4560.0,6752.64,100.0,,
Amethi,2.0,2.0,2.0,0.0,2.0,0.0
Amroha,7.0,4.0,4.0,0.0,57.14,1.0
Auraiya,2.0,2.0,2.0,2.0,0.0,100.0
Ayodhya,4.0,3.0,3.0,3.0,0.0,75.0
Azamgarh,4.0,4.0,3.0,1.0,0.0,75.0
Baghpat,4.0,3.0,3.0,0.0,3.0,0.0
Bahraich,2.0,2.0,0.0,0.0,100.0,101.3
Ballia,2.0,1.0,1.0,0.0,1.0,0.0
Balrampur,2.0,2.0,100.0,29.0,72.5,
Banda,77.0,67.0,66.0,1.0,85.71,
Barabanki,4.0,4.0,4.0,0.0,0.0,100.0
Bareilly,15.0,17.0,16.0,1.0,16.0,106.67
Basti,2.0,2.0,2.0,2.0,0.0,100.0
Bhadohi,6.0,4.0,4.0,10.0,4.0,0.0
Bijnor,13.0,10.0,10.0,0.0,10.0,76.92
Budaun,2.0,2.0,0.0,2.0,28.57,
Bulandshahr,11.0,11.0,11.0,0.0,11.0,0.0
Chandauli,6.0,6.0,6.0,0.0,6.0,100.0
Chitrakoot,2.0,2.0,2.0,0.0,2.0,0.0
Deoria,2.0,2.0,2.0,0.0,0.0,100.0
Etah,4.0,4.0,0.0,4.0,100.0,61.0
Etawah,2.0,3.0,2.0,100.0,71.0,77.17
Farrukhabad,4.0,3.0,0.0,3.0,0.0,75.0
Fatehpur,4.0,3.0,0.0,0.0,75.0,88.9
Firozabad,9.0,7.0,7.0,0.0,77.78,7.0
Gautam Buddha Nagar,2.0,2.0,0.0,2.0,0.0,100.0
Ghaziabad,18.0,16.0,16.0,0.0,16.0,88.89
Ghazipur,2.0,2.0,2.0,2.0,100.0,106.52
Gonda,2.0,2.0,2.0,2.0,0.0,100.0
Gorakhpur,7.0,7.0,7.0,7.0,0.0,100.0
Hamirpur,2.0,1.0,1.0,1.0,0.0,50.0
Hapur,142.0,123.0,123.0,120.0,84.51,100.0
Hardoi,7.0,5.0,5.0,0.0,5.0,0.0
Hathras,4.0,3.0,3.0,0.0,3.0,75.0
Jalaun,4.0,4.0,4.0,0.0,100.0,65.32
Jaunpur,2.0,2.0,2.0,0.0,2.0,0.0
Jhansi,7.0,7.0,7.0,0.0,100.0,100.0
Kannauj,2.0,2.0,2.0,0.0,0.0,100.0
Kanpur Dehat,2.0,3.0,2.0,1.0,2.0,0.0
Kanpur Nagar,2146.0,2190.0,1279.0,1363.27,59.6,62.25
Kasganj,2.0,2.0,2.0,0.0,2.0,100.0
Kaushambi,4.0,4.0,4.0,0.0,100.0,100.0
Kheri,4.0,2.0,2.0,50.0,0.0,100.0
Kushi Nagar,2.0,2.0,0.0,100.0,1.0,100.0
Lalitpur,2.0,2.0,2.0,0.0,2.0,0.0
Lucknow,11.0,14.0,11.0,3.0,11.0,0.0
Maharajganj,40.0,45.0,31.0,14.0,26.0,65.0
Mahoba,2.0,1.0,1.0,0.0,1.0,0.0
Mainpuri,2.0,2.0,2.0,0.0,2.0,0.0
Mathura,7.0,7.0,7.0,0.0,7.0,0.0
Mau,2.0,2.0,2.0,0.0,0.0,100.0
Meerut,13.0,12.0,12.0,0.0,11.0,1.0
Mirzapur,2.0,2.0,2.0,2.0,0.0,100.0
Moradabad,9.0,9.0,9.0,100.0,33.07,42.73
Muzaffarnagar,11.0,8.0,8.0,8.0,0.0,72.73
Pilibhit,2.0,2.0,2.0,0.0,100.0,100.0
Pratapgarh,2.0,2.0,0.0,100.0,79.72,89.88
Prayagraj,9.0,8.0,8.0,0.0,88.89,100.0
Rae Bareli,2.0,2.0,0.0,100.0,74.73,79.03
Rampur,7.0,7.0,7.0,7.0,0.0,100.0
Saharanpur,9.0,9.0,9.0,0.0,9.0,0.0
Sambhal,4.0,2.0,2.0,0.0,2.0,0.0
Sant Kabeer Nagar,2230.0,2280.0,2712.0,3447.24,100.0,100.0
Shahjahanpur,6.0,7.0,7.0,0.0,0.0,116.67
Shamli,2.0,2.0,2.0,2.0,100.0,56.27
Shravasti,2.0,2.0,2.0,2.0,100.0,43.09
Siddharth Nagar,2.0,2.0,2.0,0.0,2.0,0.0
Sitapur,7.0,7.0,7.0,0.0,7.0,0.0
Sonbhadra,2.0,2.0,0.0,100.0,55.52,61.97
Sultanpur,2.0,2.0,2.0,2.0,0.0,100.0
Unnao,4.0,3.0,3.0,3.0,75.0,63.09
Varanasi,11.0,12.0,11.0,1.0,11.0,100.0
