District,col_1,col_2,col_3,col_4,col_5,col_6
Aligarh,401696.0,10605.61,58645.0,1079.22,14.6,10.18
Amroha,222653.0,4605.68,40375.0,544.76,18.13,11.83
Azamgarh,301905.0,4746.37,23016.0,400.42,7.62,8.44
Baghpat,126631.0,2881.79,23149.0,376.23,18.28,13.06
Bahraich,263472.0,5347.5,50815.0,717.78,19.29,13.42
Ballia,212839.0,2905.4,9077.0,141.48,4.26,4.87
Balrampur,124868.0,2307.83,12913.0,255.07,10.34,11.05
Banda,159243.0,2785.24,8589.0,117.97,5.39,
Barabanki,342402.0,6389.29,27457.0,433.47,8.02,
Budaun,285876.0,5288.13,27481.0,333.0,9.61,6.3
Bulandshahr,376343.0,7893.67,49475.0,576.42,7.3,
Ghaziabad,252832.0,22635.89,64692.0,1152.27,25.59,5.09
Kheri,383965.0,8100.26,63298.0,1307.97,16.49,
Lucknow,544593.0,40908.7,120344.0,2770.51,22.1,6.77
Mainpuri,158097.0,3534.51,2952.0,62.32,1.87,1.76
Mathura,293097.0,9228.67,13851.0,329.97,4.73,3.58
Mau,135327.0,2349.8,10960.0,8.1,7.65,
Meerut,368272.0,15510.26,100346.0,1877.61,27.25,12.11
Mirzapur,204922.0,3793.07,12020.0,173.73,5.87,4.58
Moradabad,310700.0,10908.25,325109.0,6628.93,104.64,60.77
Muzaffarnagar,10865.8,108975.0,1491.78,1491.78,26.28,13.73
Pilibhit,202546.0,4695.86,45779.0,964.28,22.6,20.53
Pratapgarh,225480.0,3443.04,16869.0,305.71,7.48,8.88
Prayagraj,458959.0,11514.63,44783.0,923.96,9.76,8.02
Rae Bareli,310196.0,5686.66,20942.0,289.16,6.75,5.08
Rampur,5079.49,60665.0,24.96,22.39,24.96,22.39
Saharanpur,586742.0,10102.89,120707.0,1831.73,20.57,18.13
Sambhal,209434.0,4069.13,32790.0,431.26,15.66,10.6
Sant Kabeer Nagar,236602.0,1929.0,32494.0,202.9,13.73,10.52
Shahjahanpur,289367.0,6732.93,35045.0,799.91,12.11,11.88
Shamli,144884.0,3240.76,39062.0,534.7,26.96,16.5
Shravasti,88518.0,1166.54,11633.0,139.92,13.14,11.99
Siddharth Nagar,146556.0,1912.29,15181.0,248.09,10.36,12.97
Sitapur,349104.0,5413.26,38347.0,543.81,10.98,10.05
Sonbhadra,171317.0,3321.57,10523.0,156.13,6.14,4.7
Sultanpur,206748.0,3093.51,16689.0,281.74,8.07,9.11
Unnao,231004.0,3421.63,15775.0,179.11,6.83,5.23
Varanasi,1398405.0,20563.28,187318.0,1079.27,13.4,5.25
