District,total_deposit,total_advances,cd_ratio
Aligarh,31041.74,15945.07,51.37
Ambedkar Nagar,9487.78,4813.97,50.74
Amroha,8400.13,6114.62,72.79
Bahraich,9728.48,6999.67,71.95
Ballia,16195.67,5088.62,31.42
Balrampur,6630.49,3222.44,48.6
Banda,7993.65,3896.14,48.74
Barabanki,12204.99,8848.53,72.5
Bareilly,33805.3,23194.72,68.61
Basti,11945.09,4821.13,40.36
Bhadohi,8034.93,3774.11,46.97
Bijnor,20039.55,12044.96,60.11
Budaun,8579.11,6797.43,79.23
Bulandshahr,20315.77,11245.63,55.35
Chandauli,9201.52,48.99,
Chitrakoot,4083.49,2071.21,
Deoria,15492.7,6276.14,
Etawah,9851.92,4736.86,48.08
Farrukhabad,8283.74,4407.21,53.2
Firozabad,11385.27,8078.18,70.95
Gautam Buddha Nagar,199986.64,130806.42,65.41
Ghaziabad,96302.2,54830.39,56.94
Ghazipur,19843.33,7399.79,37.29
Gonda,13191.94,6418.27,48.65
Gorakhpur,45768.77,22551.05,49.27
Hamirpur,4990.1,2784.84,55.81
Hapur,9718.19,6335.27,65.19
Hardoi,13189.24,7028.83,
Hathras,7459.55,5113.74,68.55
Jalaun,8351.49,4058.7,48.6
Jaunpur,22351.96,8352.32,37.37
Jhansi,22850.08,11500.28,50.33
Kannauj,6126.92,4065.39,66.35
Kanpur Dehat,6977.7,3345.76,47.95
Kanpur Nagar,105610.34,52932.61,50.12
Kasganj,4130.84,2949.89,71.41
Kaushambi,5587.16,2417.9,43.28
Kheri,13856.36,9941.82,71.75
Lalitpur,5143.52,4134.31,80.38
Lucknow,269446.92,125043.88,46.41
Maharajganj,7407.46,4888.04,65.99
Mainpuri,7437.9,68.15,
Mau,11646.92,4381.39,37.62
Meerut,51995.95,27717.84,53.31
Muzaffarnagar,20528.83,16670.45,81.21
Pilibhit,7311.73,5978.3,81.76
Pratapgarh,15905.23,5339.57,
Rae Bareli,17847.08,8409.13,47.12
Rampur,9530.01,6780.83,71.15
Saharanpur,22549.61,15287.38,67.79
Sambhal,6142.28,5527.74,89.99
Sant Kabeer Nagar,6317.35,2935.17,46.46
Shahjahanpur,11964.13,9085.51,75.94
Shamli,6637.6,4222.66,63.62
Shravasti,2603.43,1517.25,58.28
Siddharth Nagar,7684.51,3168.64,41.23
Sitapur,13113.79,7305.4,55.71
Sonbhadra,11445.14,5679.95,
Sultanpur,11748.68,4841.87,41.21
Unnao,4960.28,32.18,
Varanasi,63363.26,34848.42,
