District,sc_st_loans,sc_st_amount,women_loans,women_amount
Agra,4000.0,278098.54,282098.54,
Aligarh,2640.0,301871.81,304511.81,
Ambedkar Nagar,1000.0,106968.66,107968.66,
Amethi,400.0,69554.1,69954.1,
Amroha,20400.0,160888.03,181288.03,
Auraiya,3680.0,25318.23,28998.23,
Ayodhya,1200.0,94634.43,95834.43,
Azamgarh,1120.0,121902.84,123022.84,
Bahraich,400.0,133723.03,134123.03,11.48
Ballia,200.0,113043.17,113243.17,22.37
Balrampur,137713.73,137713.73,91809.15,5.51
Banda,3040.0,108908.09,111948.09,9.58
Barabanki,2680.0,213279.3,215959.3,23.15
Bareilly,11280.0,223035.43,234315.43,50.76
Basti,120.0,114955.84,115075.84,13.96
Bhadohi,1989.0,10176.43,83.0,12.92
Bijnor,42000.0,328475.75,370475.75,
Budaun,5200.0,171459.67,176659.67,10.32
Bulandshahr,3540.0,28066.8,306.0,41.8
Chandauli,1200.0,51744.07,35296.05,
Chitrakoot,3009.0,14219.54,,
Deoria,680.0,140662.55,141342.55,
Etah,4800.0,142331.8,147131.8,
Etawah,3520.0,54231.6,57751.6,
Farrukhabad,3400.0,91621.44,95021.44,
Fatehpur,800.0,118407.25,119207.25,
Firozabad,6880.0,132850.26,139730.26,
Gautam Buddha Nagar,5255.0,159540.13,,
Ghaziabad,6800.0,57199.02,63999.02,
Ghazipur,1600.0,74486.27,76086.27,
Gonda,0.0,196994.3,196994.3,
Gorakhpur,960.0,169430.5,170390.5,
Hamirpur,2960.0,79320.95,82280.95,
Hardoi,400.0,216822.8,217222.8,
Hathras,1112.0,12968.98,,
Jalaun,8960.0,103401.78,112361.78,
Jaunpur,600.0,62306.19,62906.19,
Jhansi,10380.0,103734.46,114114.46,
Kannauj,4600.0,77702.37,82302.37,
Kanpur Dehat,2520.0,74538.2,77058.2,
Kanpur Nagar,40007.0,369628.12,,
Kaushambi,720.0,31328.35,32048.35,
Kheri,38160.0,216940.69,255100.69,
Kushi Nagar,1520.0,210114.12,211634.12,
Lalitpur,3560.0,79108.95,82668.95,
Lucknow,2000.0,78954.95,80954.95,
Maharajganj,1478.0,14859.61,,
Mainpuri,4800.0,68146.1,72946.1,
Mathura,7240.0,192466.84,199706.84,
Mau,1000.0,77974.14,78974.14,
Meerut,34000.0,289494.08,323494.08,116.72
Mirzapur,3746.0,18665.71,135.0,23.22
Moradabad,11320.0,166703.77,178023.77,51.83
Muzaffarnagar,29480.0,233636.97,263116.97,35.6
Pilibhit,20120.0,177063.74,197183.74,
Pratapgarh,2480.0,97810.77,100290.77,
Prayagraj,2200.0,132458.82,134658.82,
Rae Bareli,6000.0,119156.48,125156.48,
Rampur,20000.0,171787.8,191787.8,
Saharanpur,26000.0,282376.26,308376.26,
Sambhal,9080.0,136815.88,145895.88,
Sant Kabeer Nagar,6435.0,27325.68,,
Shahjahanpur,12200.0,208670.29,220870.29,
Shamli,17.46,9.63,,
Shravasti,240.0,49258.8,49498.8,
Siddharth Nagar,200.0,179783.68,179983.68,
Sitapur,880.0,194089.26,194969.26,14.75
Sonbhadra,2480.0,44327.45,46807.45,19.39
Sultanpur,1040.0,57571.44,58611.44,21.44
Unnao,6400.0,74326.23,80726.23,13.59
Varanasi,400.0,59081.68,59481.68,122.46
