District,subscribers_fy15,subscribers_fy16,subscribers_fy17,subscribers_fy18,subscribers_fy19
Balrampur,137.0,13490.0,21391.0,158.57,93523.0
Bhadohi,106.0,9770.0,16843.0,172.4,72650.0
Chitrakoot,73.0,7180.0,12678.0,176.57,
Etawah,120.0,11390.0,14825.0,130.16,63037.0
Hamirpur,102.0,9990.0,7014.0,70.21,64950.0
Hapur,109.0,10350.0,7268.0,70.22,36754.0
Hathras,130.0,12660.0,13297.0,105.03,68149.0
Jalaun,132.0,12930.0,13950.0,107.89,87000.0
Jhansi,219.0,19730.0,15386.0,77.98,85689.0
Kannauj,127.0,11660.0,16531.0,141.78,86696.0
Kasganj,80.0,7910.0,13691.0,173.08,63.448
Kaushambi,117.0,11490.0,20332.0,176.95,99664.0
Lalitpur,97.0,8700.0,15753.0,181.07,70574.0
Mathura,267.0,25200.0,20963.0,83.19,95904.0
Mau,152.0,14830.0,21567.0,145.43,86837.0
Sambhal,128.0,12510.0,15019.0,120.06,76817.0
Shamli,79.0,7650.0,119.29,45222.0,
Shravasti,68.0,9126.0,,,
Sonbhadra,145.0,13810.0,18962.0,137.31,85168.0
