district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
East Garo Hills,55015,16119,108150
East Jaintia Hills,56725,6281,143369
East Khasi Hills,342678,137432,1042750
Eastern West Khasi Hills,43916,1809,103769
North Garo Hills,57897,11235,137145
Ri Bhoi,106505,11566,288432
South Garo Hills,39476,10458,83208
South West Garo Hills,75286,20951,136088
South West Khasi Hills,32781,1261,80355
West Garo Hills,200974,67029,460310
West Jaintia Hills,116587,29056,308426
West Khasi Hills,58451,6758,148720
