district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
East Garo Hills,194,15.03,109,150.33,9225742,102350.60,58425,2487.85,48432,7520.77,24947,681.97
East Jaintia Hills,1664,363.73,71,116.32,9558326,228539.96,187024,7918.18,94551,594253.27,31581,1003.73
East Khasi Hills,23398,3193.03,1194,252.55,85286844,2080072.18,3094129,133306.08,749621,1643609.73,1341867,33487.69
Eastern West Khasi Hills,0,0.00,1,0.11,2376417,41758.77,106976,3909.48,16338,4044.35,18243,530.16
North Garo Hills,11,0.33,73,122.16,12485762,118328.39,51211,1996.07,21461,2958.53,26889,920.41
Ri Bhoi,2196,466.96,35,111.42,21896224,359222.29,374689,14294.88,109277,683110.53,206167,5047.89
South Garo Hills,1,0.00,45,21.64,6352346,72346.27,19396,756.10,9916,2140.68,14721,419.38
South West Garo Hills,2,0.23,204,819.83,10082264,137275.48,36419,1535.88,75566,12512.86,30647,936.95
South West Khasi Hills,67,4.69,10,0.85,2157107,33290.05,92169,3590.81,6032,1747.79,16196,501.79
West Garo Hills,1784,692.75,893,4528.35,44014591,612803.11,288798,10609.41,167843,392011.04,155733,4378.87
West Jaintia Hills,659,368.15,326,166.24,10727509,209867.42,349207,13917.62,64107,273593.69,86497,2340.54
West Khasi Hills,32,5.48,30,4.76,5090446,84350.23,202031,7588.87,28678,6402.63,25062,789.93
