district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
East Garo Hills,44442,4345,6,6009,1199
East Jaintia Hills,9500,10732,19,18237,31
East Khasi Hills,177741,101371,126,94599,5872
Eastern West Khasi Hills,4890,4003,15,12293,777
North Garo Hills,49839,12676,12,14269,527
Ri Bhoi,30780,10493,20,25795,6780
South Garo Hills,26339,4334,14,6002,40
South West Garo Hills,68205,6733,11,11119,1014
South West Khasi Hills,8610,538,14,8492,363
West Garo Hills,184140,20802,48,29173,3101
West Jaintia Hills,37299,5041,20,17296,1446
West Khasi Hills,11408,4176,23,13154,2299
