district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
East Garo Hills,31.01,3,310.66,156,0.00,0,867.36,310,0.59,3,1209.62,472,0.00,0
East Jaintia Hills,0.00,0,4861.63,1654,250.00,1,541.14,86,0.00,0,5652.77,1741,0.00,0
East Khasi Hills,321.87,100,49958.74,20525,122.50,14,4576.73,838,2479.61,381,57459.45,21953,0.00,95
Eastern West Khasi Hills,0.00,0,4047.77,2489,0.00,0,0.43,3,0.00,0,4048.20,2492,0.00,0
North Garo Hills,0.48,1,350.94,223,0.00,0,171.00,33,0.00,0,522.42,257,0.00,0
Ri Bhoi,99.03,11,8248.86,6404,152.30,3,10314.10,810,2437.51,13,21251.80,7242,0.00,1
South Garo Hills,0.00,0,358.60,160,0.00,0,20.69,6,1.52,2,380.81,168,0.00,0
South West Garo Hills,0.00,0,933.33,384,0.00,0,1173.70,243,12.00,4,2119.03,631,0.00,0
South West Khasi Hills,0.00,0,1746.82,1046,0.00,0,1.24,1,0.00,0,1748.06,1047,0.00,0
West Garo Hills,0.27,2,6391.46,3406,3.54,1,6158.37,1488,38.81,12,12592.45,4909,0.00,0
West Jaintia Hills,0.50,1,9694.02,3503,1.20,1,52.90,15,4.07,1,9752.69,3521,0.00,0
West Khasi Hills,3.06,4,4387.85,2388,0.00,0,151.80,96,0.39,1,4543.10,2490,0.00,1
