district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
East Garo Hills,6100.60,25540.13,5338.57,47.23,58.45,76.01,12916.68,43699.28,7023.62,58.11,36979.30,63639.58
East Jaintia Hills,35635.25,5063.63,1535.86,24.62,17.78,,144711.94,28481.18,0.00,24.39,42234.74,173193.12
East Khasi Hills,117994.13,93442.00,972720.97,37.38,45.15,42.04,315695.23,206971.25,2313980.91,41.74,1184157.10,2836647.39
Eastern West Khasi Hills,11485.25,7654.48,1223.77,48.62,31.40,17.98,23620.15,24378.77,6807.45,37.16,20363.50,54806.37
North Garo Hills,23399.26,8626.64,4.12,73.61,54.31,,31789.07,15884.45,0.00,67.19,32030.02,47673.52
Ri Bhoi,243704.03,32626.15,5184.35,154.00,41.48,85.81,158246.47,78661.72,6041.47,115.87,281514.53,242949.66
South Garo Hills,4962.72,10955.27,2294.30,46.31,64.46,60.48,10717.04,16994.49,3793.55,57.81,18212.29,31505.08
South West Garo Hills,24691.06,2880.38,0.00,69.60,54.83,,35476.85,5253.38,0.00,67.69,27571.44,40730.23
South West Khasi Hills,13050.91,1739.70,14.36,40.31,32.10,,32373.54,5420.41,0.00,39.17,14804.97,37793.95
West Garo Hills,48576.57,102690.31,10148.11,59.14,51.46,46.06,82137.54,199541.92,22033.19,53.15,161414.99,303712.65
West Jaintia Hills,20562.02,53559.60,21348.03,24.95,36.17,24.17,82416.52,148083.70,88316.97,29.94,95469.65,318817.19
West Khasi Hills,7302.26,19432.09,3252.07,36.56,46.22,33.92,19970.69,42039.36,9586.85,41.88,29986.42,71596.90
