district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
East Garo Hills,869.66,509,75.43,89,220.87,346,20.94,1054.97,964
East Jaintia Hills,2012.00,644,0.00,0,0.00,0,0.00,2586.25,1495
East Khasi Hills,4276.35,1454,67.37,37,70.25,65,1.37,5131.88,3313
Eastern West Khasi Hills,1558.71,446,26.32,12,38.34,39,1.61,2376.47,1147
North Garo Hills,1110.73,666,62.64,66,140.76,218,11.58,1215.99,1065
Ri Bhoi,1622.65,485,100.52,72,98.62,63,3.46,2847.29,1919
South Garo Hills,411.65,327,66.53,84,188.57,252,23.68,796.22,795
South West Garo Hills,1637.50,492,22.40,38,31.02,49,2.12,1464.91,1018
South West Khasi Hills,782.14,283,50.18,41,9.45,12,0.73,1297.83,820
West Garo Hills,2714.95,1112,147.89,182,299.35,366,8.95,3343.22,2600
West Jaintia Hills,2625.44,759,23.72,22,39.71,28,1.18,3375.63,1894
West Khasi Hills,1748.01,432,37.23,18,2.45,5,0.10,2501.35,1166
