district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
East Garo Hills,1,9,1,100,0,100,5,9,1,11,15
East Jaintia Hills,17,3,0,120,2,122,24,2,0,20,26
East Khasi Hills,36,24,245,326,536,862,57,29,105,305,191
Eastern West Khasi Hills,1,4,0,49,1,50,7,4,1,5,12
North Garo Hills,7,4,0,81,0,81,8,5,0,11,13
Ri Bhoi,29,16,1,153,7,160,32,15,1,46,48
South Garo Hills,1,5,0,63,0,63,3,5,1,6,9
South West Garo Hills,8,2,0,233,0,233,11,3,0,10,14
South West Khasi Hills,9,1,0,60,0,60,9,1,0,10,10
West Garo Hills,10,45,1,690,6,696,23,20,4,56,47
West Jaintia Hills,7,23,2,149,3,152,18,24,3,32,45
West Khasi Hills,1,10,1,117,4,121,8,9,1,12,18
