district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
East Garo Hills,323.64,97,283.38,74,175.62,106,27.65,635.09,206
East Jaintia Hills,465.93,84,413.30,68,20.99,12,2.84,739.36,155
East Khasi Hills,3538.15,592,3329.58,446,1262.22,548,13.72,9200.56,1842
Eastern West Khasi Hills,206.79,35,312.25,34,16.76,17,3.29,509.66,133
North Garo Hills,406.75,137,226.59,39,158.21,99,19.91,794.71,257
Ri Bhoi,805.50,282,915.13,208,215.08,149,10.62,2024.33,614
South Garo Hills,396.66,79,301.11,31,193.01,130,24.54,786.55,229
South West Garo Hills,375.77,92,211.55,34,280.43,137,35.22,796.15,260
South West Khasi Hills,114.93,54,150.24,28,37.61,30,8.33,451.59,158
West Garo Hills,2438.64,477,1783.78,281,787.91,293,19.30,4082.84,956
West Jaintia Hills,1394.45,357,1167.98,244,253.62,117,8.27,3065.59,787
West Khasi Hills,167.66,42,195.13,30,155.14,125,23.07,672.57,238
