district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
East Garo Hills,391.23,244,80,111.60,115.56,37.51,57,10.43,359.78,323,116.31,684,638
East Jaintia Hills,2012.00,644,104,242.50,0.56,8.23,5,0.32,2595.62,1488,23.48,272,72
East Khasi Hills,3746.01,1180,306,549.67,258.26,68.92,50,1.47,4675.47,2910,331.03,1103,707
Eastern West Khasi Hills,1484.70,415,136,419.93,29.79,10.59,10,0.44,2429.15,1117,35.52,177,106
North Garo Hills,647.11,392,111,169.56,259.81,56.83,59,7.15,795.14,569,268.14,1468,1366
Ri Bhoi,1582.86,457,160,304.45,170.68,124.53,98,4.32,2883.85,1960,185.27,652,445
South Garo Hills,199.09,144,103,127.21,233.61,68.54,105,10.66,642.71,608,234.85,821,791
South West Garo Hills,1006.96,288,117,182.61,21.67,44.23,109,4.64,953.19,793,79.14,434,335
South West Khasi Hills,617.20,197,53,93.55,111.62,10.00,13,0.81,1241.42,777,117.26,542,478
West Garo Hills,2478.54,970,410,636.71,981.48,125.51,205,4.30,2922.06,2243,1199.86,2124,1772
West Jaintia Hills,2473.38,695,148,317.70,118.33,30.17,28,0.99,3047.11,1746,281.55,394,129
West Khasi Hills,1601.78,395,110,297.00,11.17,13.19,31,0.54,2421.40,1161,42.51,130,56
