district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Anjaw,4061.64,0.00,0.00,25.98,,,15632.50,0.00,0.00,25.98,4061.64,15632.50
Changlang,27667.04,567.72,0.00,30.83,19.67,,89731.98,2886.87,0.00,30.48,28234.76,92618.85
Dibang Valley,3583.34,279.70,0.00,14.55,16.30,,24631.99,1716.37,0.00,14.66,3863.04,26348.36
East Kameng,300.88,20822.94,0.00,88.54,53.51,,339.84,38915.32,0.00,53.81,21123.82,39255.16
East Siang,11030.00,61542.53,0.00,27.28,42.33,,40436.45,145383.56,0.00,39.06,72572.53,185820.01
Kamle,2255.49,0.00,0.00,49.72,,,4536.43,0.00,0.00,49.72,2255.49,4536.43
Kra Daadi,4916.11,0.00,0.00,48.61,,,10112.86,0.00,0.00,48.61,4916.11,10112.86
Kurung Kumey,5578.72,2113.73,0.00,44.31,46.18,,12591.00,4577.28,0.00,44.81,7692.45,17168.28
Leparada,10790.04,1375.11,0.00,30.50,78.63,,35380.70,1748.86,0.00,32.76,12165.15,37129.56
Lohit,5447.56,19734.83,0.00,40.56,42.97,,13430.37,45931.05,0.00,42.42,25182.39,59361.42
Longding,13072.19,0.00,0.00,56.69,,,23058.33,0.00,0.00,56.69,13072.19,23058.33
Lower Dibang Valley,2460.80,21772.20,0.00,20.62,31.81,,11931.66,68433.86,0.00,30.15,24233.00,80365.52
Lower Siang,15441.78,0.00,0.00,53.83,,,28687.69,0.00,0.00,53.83,15441.78,28687.69
Lower Subansiri,8325.36,33913.07,0.00,47.34,39.92,,17585.96,84954.57,0.00,41.19,42238.43,102540.53
Namsai,15023.55,14656.93,0.00,36.85,41.70,,40768.09,35151.57,0.00,39.09,29680.48,75919.66
Papum Pare,61608.70,410543.54,629.20,46.55,29.29,63.71,132346.33,1401431.49,987.63,30.80,472781.44,1534765.45
Shi Yomi,1144.86,343.62,0.00,7.08,15.05,,16180.01,2282.85,0.00,8.06,1488.48,18462.86
Siang,5031.47,0.00,0.00,27.46,,,18319.91,0.00,0.00,27.46,5031.47,18319.91
Tawang,6950.75,16791.40,0.00,15.97,10.95,,43526.07,153344.78,0.00,12.06,23742.15,196870.85
Tirap,18479.58,1186.22,0.00,43.40,45.85,,42576.81,2587.10,0.00,43.54,19665.80,45163.91
Upper Siang,8974.96,529.02,0.00,17.92,21.50,,50072.07,2460.66,0.00,18.09,9503.98,52532.73
Upper Subansiri,7303.22,24930.23,0.00,33.91,56.16,,21536.25,44392.62,0.00,48.89,32233.45,65928.87
West Kameng,51503.49,2409.43,0.00,35.43,529.56,,145363.47,454.99,0.00,36.97,53912.92,145818.46
West Siang,2524.33,37614.89,0.00,22.49,35.04,,11226.18,107363.20,0.00,33.85,40139.22,118589.38
