district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,5.14,1,5.18,1,14.78,3,96.16,15.37,4
Changlang,5.65,1,8.59,2,36.32,9,85.80,42.33,13
East Kameng,32.40,3,33.25,3,15.73,2,94.99,16.56,3
East Siang,8.28,2,17.77,3,24.17,14,50.15,48.20,21
Kamle,4.22,1,54.91,7,18.78,5,33.27,56.44,15
Kra Daadi,14.46,2,37.50,3,50.50,10,45.50,110.99,23
Kurung Kumey,57.51,4,100.03,12,81.20,12,64.39,126.11,33
Leparada,26.47,3,38.70,6,89.80,14,91.68,97.95,16
Lohit,15.74,5,22.63,4,19.81,6,49.89,39.71,13
Longding,0.00,0,11.40,2,31.78,4,79.31,40.07,7
Lower Dibang Valley,6.12,1,13.72,2,10.30,3,63.74,16.16,5
Lower Siang,38.69,3,58.08,7,72.12,8,73.12,98.63,11
Lower Subansiri,211.05,14,277.17,19,166.73,41,64.81,257.27,56
Namsai,7.54,1,15.52,4,18.11,15,10.27,176.37,71
Papum Pare,1630.02,174,1749.71,174,711.64,178,23.80,2990.50,521
Shi Yomi,0.00,0,0.00,0,12.32,3,51.72,23.82,9
Siang,0.00,0,34.01,4,22.59,3,50.09,45.10,8
Tawang,34.21,7,28.98,5,44.79,10,57.68,77.65,21
Tirap,8.11,3,0.00,0,13.62,6,82.35,16.54,9
Upper Siang,11.09,1,34.20,4,35.73,7,100.00,35.73,7
Upper Subansiri,48.55,5,60.80,6,67.71,14,35.52,190.65,35
West Kameng,46.10,14,92.15,12,235.83,50,65.65,359.25,73
West Siang,28.14,2,105.90,10,68.81,11,41.94,164.08,29
