district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Anjaw,7220,931,1,931,6
Changlang,69271,13162,5,13409,41
Dibang Valley,4809,122,0,123,33
East Kameng,53858,5380,1,6413,27
East Siang,47833,14304,20,14025,214
Kamle,4713,173,3,173,4
Kra Daadi,5381,1014,0,1014,28
Kurung Kumey,23123,1093,0,1377,55
Leparada,14136,1705,0,1844,47
Lohit,30889,6053,4,6420,270
Longding,17209,5125,2,5125,22
Lower Dibang Valley,31177,4197,28,4363,180
Lower Siang,7199,12033,16,12033,10
Lower Subansiri,36411,4652,6,5345,356
Namsai,44767,5791,1,6702,364
Papum Pare,166657,21115,250,26160,2855
Shi Yomi,6587,651,0,686,0
Siang,4898,2981,1,2981,1
Tawang,29134,1227,7,2806,61
Tirap,33560,5421,1,5997,22
Upper Siang,23545,967,3,1023,61
Upper Subansiri,42164,6284,2,7869,100
West Kameng,45530,4999,11,6165,229
West Siang,32047,5611,101,6382,18
