district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Anjaw,9.12,5,69.25,22,1089.39,206,3025.60,1327
Changlang,389.64,52,853.35,333,5398.33,1028,13661.41,4684
Dibang Valley,70.10,6,98.34,14,1292.79,206,2961.00,871
East Kameng,14.96,7,130.84,34,2920.20,588,10023.22,2857
East Siang,210.64,35,759.88,218,18657.83,2421,50590.92,11002
Kamle,30.43,4,35.29,20,603.48,130,1490.61,646
Kra Daadi,10.00,1,39.75,24,1287.28,243,3353.20,1467
Kurung Kumey,32.65,5,74.17,18,497.68,56,1231.03,313
Leparada,23.00,3,48.27,17,3325.63,504,9421.79,2822
Lohit,135.15,30,384.85,127,6183.10,1463,16191.80,5838
Longding,41.03,8,138.39,35,674.62,127,1820.21,545
Lower Dibang Valley,208.56,55,456.13,200,4417.89,686,10513.18,2929
Lower Siang,151.61,23,364.21,84,3982.04,668,8983.58,2074
Lower Subansiri,113.15,22,397.07,152,8791.77,1436,24166.80,5873
Namsai,196.09,44,581.53,198,7459.23,1156,18477.11,4959
Papum Pare,1851.02,171,4724.41,946,80480.46,6721,236619.15,37891
Shi Yomi,1.30,1,18.37,5,256.90,35,901.77,222
Siang,0.00,0,18.55,10,2122.35,370,4561.59,1292
Tawang,130.41,19,251.73,79,5659.70,599,13401.74,3186
Tirap,92.06,12,190.69,65,3189.83,885,8994.59,3720
Upper Siang,62.27,9,147.98,42,2792.27,543,6450.94,2073
Upper Subansiri,131.34,18,284.02,75,8550.86,1464,24962.06,5788
West Kameng,183.17,30,502.44,154,12821.90,1474,30071.96,6658
West Siang,184.40,13,372.48,82,11019.68,1507,32102.70,7973
