district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Anjaw,2,0,0,8,0,9,2,0,0,2,2
Changlang,12,1,0,58,12,74,12,2,0,13,14
Dibang Valley,1,0,0,1,0,1,1,1,0,1,2
East Kameng,0,10,0,16,11,30,1,8,0,10,9
East Siang,4,15,0,77,26,111,7,12,0,19,19
Kamle,0,0,0,2,0,2,1,0,0,0,1
Kra Daadi,3,0,0,0,0,0,2,0,0,3,2
Kurung Kumey,0,0,0,1,3,5,1,3,0,0,4
Leparada,1,1,0,3,1,10,3,2,0,2,5
Lohit,2,12,0,8,2,22,5,5,0,14,10
Longding,4,0,0,16,3,19,3,0,0,4,3
Lower Dibang Valley,1,11,0,52,7,70,3,6,0,12,9
Lower Siang,3,0,0,26,17,43,4,0,0,3,4
Lower Subansiri,5,14,0,39,2,41,5,10,0,19,15
Namsai,5,6,0,28,10,51,6,5,0,11,11
Papum Pare,13,113,1,100,652,759,21,50,1,127,72
Shi Yomi,1,4,0,4,1,5,1,5,0,5,6
Siang,1,0,0,9,0,9,4,0,0,1,4
Tawang,4,13,0,18,1,25,5,6,0,17,11
Tirap,4,0,0,18,0,23,3,2,0,4,5
Upper Siang,3,1,0,11,1,13,5,2,0,4,7
Upper Subansiri,3,6,0,9,2,16,6,2,0,9,8
West Kameng,28,1,0,35,2,40,18,1,0,29,19
West Siang,3,13,1,27,10,37,3,8,0,17,11
