district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Anjaw,0,0.00,6,0.79,1098813,16465.86,3,0.05,0,0.00,25351,1235.63
Changlang,131,49.30,538,16.22,11962487,170883.70,5149,304.44,653,34727.84,187907,7804.50
Dibang Valley,0,0.00,0,0.00,576008,10217.72,1093,64.35,2,0.01,19186,1017.78
East Kameng,493,167.33,961,10.05,5405880,98201.69,27112,4229.76,1669,322407.13,80044,3921.78
East Siang,2058,2026.59,2956,24.21,17108248,272130.70,104914,6304.79,88357,490995.46,198507,7777.87
Kamle,0,0.00,0,0.00,981676,12763.95,5,0.08,0,0.00,9801,400.03
Kra Daadi,0,0.00,18,2.44,1247980,22152.73,613,26.58,0,0.00,26598,1157.65
Kurung Kumey,0,0.00,27,4.91,939724,18857.24,7658,573.59,2,0.00,16573,836.79
Leparada,0,0.00,15,16.16,2908666,41652.03,2550,180.92,5,0.06,42651,1735.11
Lohit,332,286.80,47,79.70,6157990,91382.47,7116,775.10,10756,2094.33,101197,4401.03
Longding,0,0.00,1,0.10,3894859,55629.15,380,10.60,1,0.00,53152,2112.53
Lower Dibang Valley,251,367.49,958,20.23,5970564,94593.70,32139,1527.70,37685,6735.87,91452,4082.97
Lower Siang,0,0.00,1,0.15,3276395,45258.85,1417,56.15,2,0.00,59518,2354.53
Lower Subansiri,690,860.19,505,0.42,9015646,157643.20,48339,3600.54,13297,285981.86,133073,5804.27
Namsai,1715,2778.87,14430,72.18,5626664,96579.57,10236,1485.42,11999,176645.26,113552,3859.95
Papum Pare,12133,11526.55,182313,4932.79,55513909,1132503.32,724522,48148.78,623113,3875403.23,965842,40648.02
Shi Yomi,0,0.00,0,0.00,444371,6008.89,783,48.15,1,0.00,19170,882.10
Siang,0,0.00,1,0.20,1670613,19423.46,460,19.72,10,0.05,22993,840.59
Tawang,492,425.03,229,2.55,4360983,96757.97,42814,2263.91,18001,3237.21,106255,5392.86
Tirap,0,0.00,13,1.89,5170854,76715.34,1954,112.93,23,1.40,108051,3856.48
Upper Siang,0,0.00,23,24.08,2748953,43959.67,5016,394.52,2,0.00,42727,1768.31
Upper Subansiri,0,0.00,37,40.50,6284453,94580.29,19694,1182.49,533,1080.91,111920,5092.56
West Kameng,815,554.72,17,2.77,11464396,207751.56,47957,2753.75,2962,190615.09,288053,11762.60
West Siang,665,371.81,2,0.00,10529461,189088.36,93592,4440.48,15253,467605.38,148384,6030.35
