district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Anjaw,12.10,5,10.44,4,0.00,0,0.10,1,0.00,0,22.64,10,0.00,0
Changlang,553.84,155,2098.90,293,0.00,0,53.44,15,36.64,3,2742.82,466,0.00,0
Dibang Valley,0.00,0,25.52,6,0.00,0,4.00,1,0.00,0,29.52,7,0.00,0
East Kameng,69.65,16,1439.67,472,0.00,0,87.46,32,0.00,0,1596.78,520,0.00,0
East Siang,290.86,35,1421.20,147,0.00,0,244.51,52,3.44,4,1960.01,238,0.00,0
Kamle,12.14,1,84.07,13,0.00,0,0.00,0,0.00,0,96.21,14,0.00,0
Kra Daadi,9.00,1,558.40,231,0.00,0,19.43,1,0.00,0,586.83,233,0.00,0
Kurung Kumey,2.00,1,1540.73,920,0.00,0,6.52,1,0.00,0,1549.25,922,0.00,0
Leparada,72.45,7,198.18,63,0.00,0,81.24,7,0.00,0,351.87,77,0.00,0
Lohit,404.37,85,570.88,71,0.00,0,69.61,26,24.00,1,1068.86,183,0.00,0
Longding,40.70,7,3105.70,1017,0.00,0,9.45,3,2.20,3,3158.05,1030,0.00,0
Lower Dibang Valley,45.25,4,2497.02,359,0.00,0,10.50,4,6.20,1,2558.97,368,0.00,0
Lower Siang,98.68,7,596.73,72,0.00,0,56.18,7,0.00,0,751.59,86,0.00,0
Lower Subansiri,126.64,17,2159.59,409,0.00,0,463.79,42,0.00,0,2750.02,468,0.00,0
Namsai,5310.10,963,1718.88,128,0.00,0,56.83,16,0.68,1,7086.49,1108,0.00,0
Papum Pare,4391.84,181,20704.89,2028,6.71,1,3435.61,293,163.56,17,28703.76,2521,1.15,1
Shi Yomi,81.80,14,24.65,6,0.00,0,10.00,1,0.00,0,116.45,21,0.00,0
Siang,15.92,1,10.90,2,0.00,0,0.00,0,0.00,0,26.82,3,0.00,0
Tawang,5427.47,561,176.66,30,0.00,0,47.07,15,28.00,6,5679.20,612,0.00,0
Tirap,41.85,6,1432.28,395,0.00,0,4.90,4,0.00,0,1479.03,405,0.00,0
Upper Siang,30.35,4,280.23,63,0.00,0,3.97,2,0.00,0,314.55,69,0.00,0
Upper Subansiri,0.27,5,153.82,23,0.00,0,3.43,11,0.00,0,157.52,39,0.00,0
West Kameng,10367.95,1249,853.99,107,15.00,1,205.55,33,117.50,14,11568.99,1405,9.00,1
West Siang,520.28,61,156.38,21,0.00,0,122.10,18,16.76,2,815.52,102,0.00,0
