district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Anjaw,213.83,869,679,831,1344,44,337,1548,1548,0
Changlang,1958.61,26045,21265,15725,42334,2572,10831,46626,47310,690
Dibang Valley,215.13,220,259,259,345,25,15,449,479,30
East Kameng,1318.22,7989,6479,7513,10312,1064,5216,4316,14468,10155
East Siang,3142.16,35119,29942,25140,47089,9775,11547,41656,65061,23661
Kamle,137.22,859,541,843,1223,17,45,1400,1400,0
Kra Daadi,242.74,1817,1095,1383,3329,27,502,2914,2912,0
Kurung Kumey,414.48,2052,1737,1445,3240,563,1006,2910,3789,881
Leparada,291.91,1688,1585,1090,2196,291,1409,2804,3273,472
Lohit,611.42,6746,5445,6394,10196,1130,4578,5294,12191,6899
Longding,527.93,6984,3545,6125,9564,259,3044,10530,10529,0
Lower Dibang Valley,784.44,7576,6840,7726,12808,1158,3383,4147,14416,10269
Lower Siang,788.12,19592,19043,13557,16305,10681,10552,38637,38635,0
Lower Subansiri,1224.82,6478,5211,4916,10107,593,3733,6186,11689,5508
Namsai,1412.18,12812,11164,20701,21039,1639,5730,12990,23976,16600
Papum Pare,6458.46,32529,27122,30916,49512,4901,25848,28185,59651,26184
Shi Yomi,461.68,828,734,550,1799,119,477,1562,1562,0
Siang,593.45,2275,2613,2070,3562,131,2797,4890,4888,0
Tawang,719.90,2384,2865,2927,4265,451,1678,3946,5249,1304
Tirap,1086.88,8743,6106,7648,14290,615,4470,14855,14849,0
Upper Siang,540.46,2410,2114,3092,2047,219,818,4286,4524,238
Upper Subansiri,2189.05,10565,9120,9431,17220,2001,6181,5253,19685,14444
West Kameng,1415.15,8197,6956,7393,11984,763,3937,15109,15153,46
West Siang,1575.90,8145,8194,7406,10253,1230,3848,4198,16339,10004
