district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Anjaw,0.03,1,0,0.00,68.33,0.00,0,0.00,0.43,1,68.33,177,177
Changlang,4.84,6,0,0.00,219.54,0.00,0,0.00,7.56,7,219.54,1210,1210
Dibang Valley,0.00,0,0,0.00,55.25,0.00,0,0.00,0.00,0,55.25,27,27
East Kameng,3.09,1,0,0.00,34.68,0.00,0,0.00,8.56,3,35.95,201,194
East Siang,63.92,47,11,21.52,15.35,0.00,0,0.00,90.93,57,29.75,53,33
Kamle,0.00,0,0,0.00,24.95,0.00,0,0.00,0.00,0,24.95,73,73
Kra Daadi,20.11,15,2,1.71,206.57,0.00,0,0.00,22.86,20,206.57,215,215
Kurung Kumey,14.39,3,0,0.00,16.74,0.00,0,0.00,23.62,14,16.74,125,125
Leparada,43.40,27,2,2.60,67.93,0.00,0,0.00,42.52,30,67.93,89,88
Lohit,240.25,89,20,65.24,87.64,0.00,0,0.00,313.10,160,92.48,238,164
Longding,0.00,0,0,0.00,120.36,0.00,0,0.00,0.11,1,120.36,459,459
Lower Dibang Valley,26.11,13,11,23.85,3.26,0.00,0,0.00,48.10,32,11.10,21,13
Lower Siang,36.76,24,9,15.76,3.91,0.00,0,0.00,45.60,29,41.70,29,16
Lower Subansiri,178.12,103,18,34.06,6.23,4.00,1,1.39,288.20,158,6.66,62,58
Namsai,143.93,30,6,36.00,6.91,0.00,0,0.00,99.18,71,6.91,49,49
Papum Pare,212.22,119,16,40.79,98.81,22.00,14,6.57,334.74,216,107.44,509,414
Shi Yomi,0.00,0,0,0.00,0.18,0.00,0,0.00,0.00,0,0.18,4,4
Siang,26.48,21,11,13.09,38.60,0.00,0,0.00,43.16,35,38.60,103,103
Tawang,1.59,1,1,1.59,220.25,0.00,0,0.00,4.79,4,220.29,265,260
Tirap,0.50,1,0,0.00,168.36,0.00,0,0.00,0.50,1,168.36,736,736
Upper Siang,3.49,4,4,3.49,81.06,0.00,0,0.00,5.22,6,81.06,45,45
Upper Subansiri,53.87,40,19,26.30,67.36,0.00,0,0.00,123.77,98,70.35,257,235
West Kameng,105.95,47,3,5.57,273.22,8.18,1,6.18,132.36,59,279.60,440,426
West Siang,42.40,47,16,20.42,2.89,0.00,0,0.00,43.62,53,3.47,42,20
