district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,9.60,2,0.10,1,0.00,0,0.00,9.67,2
Changlang,5.00,4,0.00,0,0.00,0,0.00,4.92,4
East Siang,45.49,36,0.59,3,0.00,0,0.00,73.20,47
Kamle,3.00,1,0.00,0,0.00,0,0.00,3.01,1
Kra Daadi,83.20,53,0.05,3,0.00,0,0.00,92.60,77
Kurung Kumey,0.00,0,0.00,0,0.00,0,0.00,3.81,2
Leparada,31.25,15,0.00,0,0.00,0,0.00,30.95,20
Lohit,145.37,61,0.93,1,0.00,0,0.00,121.48,55
Lower Dibang Valley,1.11,1,3.97,4,0.00,0,0.00,21.98,20
Lower Siang,23.51,15,0.00,0,0.00,0,0.00,46.48,28
Lower Subansiri,174.27,86,10.40,5,4.00,1,1.42,282.59,152
Namsai,204.98,45,3.01,4,0.00,0,0.00,174.90,84
Papum Pare,203.71,94,15.93,8,12.39,6,4.77,259.64,164
Siang,9.31,6,1.52,1,0.00,0,0.00,21.28,22
Tawang,9.75,7,0.00,0,0.00,0,0.00,17.32,15
Tirap,0.04,1,0.00,0,0.00,0,0.00,0.62,1
Upper Siang,0.00,0,0.00,0,0.00,0,0.00,3.49,4
Upper Subansiri,47.26,25,3.74,5,0.00,0,0.00,115.31,93
West Kameng,9.39,5,0.24,2,0.00,0,0.00,14.85,7
West Siang,31.48,32,0.00,2,0.00,0,0.00,51.58,57
