District,Total MSME O/S Amt,Total MSME O/S No.,Other MSME Amt,Other MSME No.,Medium Amt.,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
East Garo Hills,1943.91,1542,0,0,69.85,1,143.85,36,1730.21,1505
East Khasi Hills,145659.94,18020,20.76,29,22110.88,103,29193.83,1181,94334.47,16707
North Garo Hills,1143.32,721,0,0,0,0,32.61,7,1110.71,714
Ri Bhoi,48705.07,5864,0.24,2,7070.4,40,10228.92,393,31405.51,5429
South Garo Hills,773.06,769,0,0,0,0,62.61,6,710.45,763
South West Garo Hills,1901.29,1090,0,0,0,0,154.43,38,1746.86,1052
South West Khasi Hills,1212.28,671,0,0,0,0,52.09,5,1160.19,666
West Garo Hills,12859.05,7777,0,0,178.68,4,2858.01,417,9822.36,7356
West Khasi Hills,6355.73,3765,0.01,2,0,0,909.75,55,5445.97,3708
