District,Total Other PS O/S Amt,Total Other PS O/S No.,Other Amt. PS,No. Other PS,Renewable Amt,No. Renew able,Social Infra Amt,Social Infra No.,Housing Amt (PS),Housing No. (PS),Education Amt (PS),Education No. (PS)
East Garo Hills,761.54,149,0.73,3,0,0,20.83,7,634.69,99,105.29,40
East Khasi Hills,52224.4,20581,7571.78,14616,0.94,1,132.77,36,35221.57,3742,9297.34,2186
North Garo Hills,793.99,176,0,0,0,0,23.92,10,729.87,154,40.2,12
Ri Bhoi,11649.5,4256,1087.44,3065,0,0,17.74,7,9758.52,904,785.8,280
South Garo Hills,570.66,93,0,0,0,0,25.69,12,520.64,74,24.33,7
West Garo Hills,8162.07,1614,945.37,432,0,0,75.15,22,6535.62,942,605.93,218
West Khasi Hills,2675.49,569,157.11,41,0,0,9.92,4,1848.33,267,660.13,257
