District,Aadhaar Seeded No.,RuPay Card Activated,RuPay Card Issued No.,Deposits Held in A/c Amt,Zero Balance A/c No.,Total No. PMJDY,Female No,Male No,Urban No,Rural No
East Garo Hills,551,15959,25319,791.66,1486,27170,16492,10678,7330,19840
East Khasi Hills,18294,42931,76841,13928.87,7946,140672,82716,57956,49077,96554
North Garo Hills,608,28547,41138,1002.61,726,43250,24746,18504,3681,39569
Ri Bhoi,5163,16235,36631,4555.35,2377,55906,33731,22175,6357,47044
South Garo Hills,42,8671,12626,509.21,431,16057,9614,6443,3334,12723
South West Garo Hills,1054,22438,37428,1722.8,1054,44061,23875,20186,3548,40513
South West Khasi Hills,53,10094,12670,1328.55,1274,17786,11578,6208,1393,16393
West Garo Hills,9533,78624,142797,8627.1,6466,161492,93616,67876,18610,142882
West Khasi Hills,4887,11811,31356,5448.92,2463,72243,41616,30627,6000,66552
