District,Kharif insured PMFBY under Amount,PMFBY Kharif Farmers Covered No.,Loan Current Amount Year Achievement Crop
East Garo Hills,0,0,6.75
East Khasi Hills,0,0,4477.32
Ri Bhoi,1,1,1117.52
West Garo Hills,0,0,164.84
