District,NULM NPA Amt,NULM NPA No.,NULM O/S Amt,NULM O/S No.,NRLM NPA Amt,NRLM NPA No.,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.
East Garo Hills,0,0,0,0,48.77,112,0,1,231.67,401
East Khasi Hills,11.11,24,15.11,31,6.49,10,0,0,678.89,773
North Garo Hills,0,0,3.15,1,55.48,107,0,0,185.47,362
Ri Bhoi,0,0,0,0,9.13,14,1.75,2,1122.81,1201
South Garo Hills,0,0,4.25,4,33.27,56,0,0,182.91,242
South West Garo Hills,0,0,0,0,0,0,0,0,374.61,422
South West Khasi Hills,0,0,0,0,0,0,0,0,482.96,379
West Garo Hills,9.03,16,51.18,56,55.79,106,1,1,922.7,1133
West Khasi Hills,0,0,0,0,13.09,11,3.96,5,1496.05,1362
