District,Total Enrolment,APY Enrolment,PMSBY Renewals,PMSBY Eligible Cases,PMSBY Enrolment,PMJJBY Renewals,PMJJBY Eligible Cases,PMJJBY Enrolment
East Garo Hills,29961,1986,8446,67360,19712,2512,43479,8263
East Khasi Hills,179282,13795,66628,684634,108036,32820,516421,57451
North Garo Hills,40548,5897,14981,84637,23846,4771,52193,10805
Ri Bhoi,82097,3539,33750,191757,55716,10641,143996,22842
South Garo Hills,12210,563,3588,46219,8479,1136,31311,3168
South West Garo Hills,58518,1808,17492,98041,38937,6378,61192,17773
South West Khasi Hills,13944,299,4334,51726,7768,3138,38935,5877
West Garo Hills,140813,6264,46233,327663,94540,14765,206665,40009
West Khasi Hills,36733,1132,11115,182261,21263,7266,144589,14338
