District,No Medium,Small Amt,Small No.,Micro Amt,Micro No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Term Loan Amt,Term Loan No.,Crop Amt,Crop No.
East Garo Hills,0,0,0,369.4,674,0,0,348.45,1365,13.73,32,953.45,2278
East Khasi Hills,8,1765.75,183,6749.38,3070,9439.53,116,1080.89,816,205.35,360,2487.93,4870
North Garo Hills,0,0,0,310.25,403,19.65,11,488.28,1709,0,0,1436.35,3083
Ri Bhoi,0,169.55,31,1047.45,1109,88.15,21,444.23,1796,204.46,786,7557.82,13128
South Garo Hills,0,7.47,1,263.76,249,0,0,414.18,1291,6.22,20,332.76,1034
South West Garo Hills,0,0.08,1,312.32,267,0,0,503.85,1912,9.64,39,1363.79,3452
South West Khasi Hills,0,3.57,1,84.7,52,0,0,50.47,119,7.82,8,169.89,400
West Garo Hills,0,309.99,177,1482.34,1698,0,0,715.6,2782,111.6,295,2289.28,5375
West Khasi Hills,0,31.1,4,667.64,491,2,2,112.43,561,69.45,126,2044.82,3770
