district,pmfby_enrollment_rabi_non_loanee_farmers_s_no,pmfby_enrollment_rabi_non_loanee_farmers_no_of_enrollments,pmfby_enrollment_rabi_non_loanee_farmers_farmer_s_share_in_lakhs
Dhalai,1,573,0.94
Gomati,2,414,0.54
Khowai,3,238,0.43
North Tripura,4,23,0.04
Sepahijala,5,2576,1.42
South Tripura,6,129,0.18
Unakoti,7,100,0.31
West Tripura,8,1095,0.86
