District,CD RATIO Dec 2018,CD RATIO March 2019,CD RATIO Dec 2019,CD RATIO Since Dec 2018
Dhalai,73,67,94,+21
Gomati,164,54,70,-94
Khowai,67,61,67,No change
North Tripura,58,51,53,-5
Sepahijala,68,62,73,+5
South Tripura,57,53,60,+3
Unakoti,67,59,72,+5
West Tripura,36,52,49,+13
