District,No. Of Enrollments,Farmer's Share (in lakhs)
Dhalai,573,0.94
Gomati,414,0.54
Khowai,238,0.43
North Tripura,23,0.04
Sepahijala,2576,1.42
South Tripura,129,0.18
Unakoti,100,0.31
West Tripura,1095,0.86
