District,NRLM NPA Amt,No. NRLM NPA,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.,Self-Help Group Current Year Amt,Self-Help Group Current Year No.
Eastern West Khasi Hills,2.02,44,18.82,11,2509.97,1189,267.56,91
East Garo Hills,21.39,383,74.64,89,1266.66,1062,325.39,239
East Jaintia Hills,0.02,1,0.49,1,2683.22,1529,155.5,85
East Khasi Hills,5.09,234,84.68,57,5437.33,3419,469.94,239
North Garo Hills,15.35,298,76.34,90,1401.34,1175,362.22,229
Ri Bhoi,4.72,80,116.05,72,2879.67,1909,215.87,80
South Garo Hills,32.72,321,133.73,162,762.47,766,59.2,81
South West Garo Hills,3.56,63,26.99,34,1567.66,1049,243.5,101
South West Khasi Hills,5.04,57,81,58,1245.48,804,57.86,31
West Garo Hills,11.85,474,181.18,203,3707.93,2847,619.26,372
West Jaintia Hills,3.43,60,35.84,24,3389.51,1899,262.4,104
West Khasi Hills,0.3,9,25.14,14,2476.65,1145,166.63,69
