District,USSD Amt,USSD A/C,Debit & Credit Cards Amt,Debit & Credit Cards A/C,IMPS Amt,IMPS A/C,Bharat QR Code Amt,Bharat QR Code A/C,BHIM Aadhaar Amt,BHIM Aadhaar A/C,BHIM/UPI Amt,BHIM/UPI A/C
Eastern West Khasi Hills,99.38,3062,333501.59,48409,8830259.29,7759,0,0,0,0,15493.17,907994
East Garo Hills,118.97,3968,99541.33,17834,17417589.99,13119,18.98,224,260.59,88,35942.71,3225537
East Jaintia Hills,213.1,6447,106092.47,73260,11792015.24,28775,84.5,925,150.26,38,67049.03,3218165
East Khasi Hills,7416.69,279952,419666.43,1053693,33537682.48,239743,5123.23,29139,237.42,1035,630790.22,29481972
North Garo Hills,198.54,5179,639.98,14610,1768.71,22453,1.14,8,176.2,21,37258.72,4227866
Ri Bhoi,1084.27,41352,226384.77,118136,24480364.74,32552,90.48,1460,142.76,44,108141.9,7536680
South Garo Hills,71.06,2307,77410.16,8881,11581669.53,2867,0,0,29.31,15,20034.96,2202729
South West Garo Hills,226.82,7090,77372.16,11361,5231405.84,22523,0,0,2560.78,143,54082.75,3445583
South West Khasi Hills,103.48,3506,113462.44,35208,7824761.39,2520,3.59,78,0.17,8,11558.24,845082
West Garo Hills,859.01,29401,470792.73,68298,19090757.34,95081,106.22,1272,7076.14,663,196397.8,14615115
West Jaintia Hills,464.77,16721,176289.95,112668,4842320.46,26287,51.19,634,338.14,291,68381.11,4137540
West Khasi Hills,140.43,4653,157620.14,55791,3501551.78,8928,4.88,36,4.7,11,28837.17,1793440
