District,Total Agri NPA Amt (PS),Total Agri NPA No. (PS),Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Term Loan Amt,Term Loan No.,Crop Amt,Crop No.
Eastern West Khasi Hills,349.28,902,17.12,2,25.05,93,28.58,93,278.53,714
East Garo Hills,1012.89,3001,50.93,71,377.68,1584,18.78,51,565.5,1295
East Jaintia Hills,134.42,310,0.9,1,102.75,240,9.35,24,21.42,45
East Khasi Hills,4228.65,5202,787.69,96,1075.78,714,160.97,354,2204.21,4038
North Garo Hills,1819.91,4312,53.91,50,539.79,1667,0.17,1,1226.04,2594
Ri Bhoi,8120.81,14290,91.31,50,389.74,1490,90.83,358,7548.93,12392
South Garo Hills,712.55,2243,86.62,98,298.5,1203,19.21,38,308.22,904
South West Garo Hills,1596.64,4641,33.06,18,539.36,2146,30.36,66,993.86,2411
South West Khasi Hills,197.32,324,53.49,49,38.03,97,14.79,7,91.01,171
West Garo Hills,2963.16,7750,209.91,139,659.09,2925,197.81,514,1896.35,4172
West Jaintia Hills,878.13,1723,26.25,31,75.15,251,46.46,100,730.27,1341
West Khasi Hills,1821.66,3187,0.24,2,95.64,395,43.81,53,1681.97,2737
