District,Outstanding No.,Outstanding Amt,CY Disbursed No.,CY Disbursed Amt
Eastern West Khasi Hills,6886,8799.72,536,1005.97
East Garo Hills,5836,10991.41,712,1137.3
East Jaintia Hills,2835,7405.25,396,1074.52
East Khasi Hills,71027,225662.51,8665,933469.34
North Garo Hills,4396,9535.36,736,1055.58
Ri Bhoi,30230,53789.54,3607,5670.5
South Garo Hills,1740,5588.03,315,620.62
South West Garo Hills,4245,7136.47,460,727.11
South West Khasi Hills,2797,5125.25,263,483.37
West Garo Hills,23119,51283.77,2287,4504.56
West Jaintia Hills,10975,25403.6,1487,3164.2
West Khasi Hills,6409,10001.16,616,845864.34
