District,Self Help Groups No.,DRI Scheme Amt,DRI Scheme No.,Scheduled Tribes Amt,Scheduled Tribes No.,Scheduled Castes Amt,Scheduled Castes No.,Small & Marginal Farmers Amt,Small & Marginal Farmers No.
Eastern West Khasi Hills,1144,0,0,9498.72,9154,65.14,0,7064.52,9208
East Garo Hills,795,0,0,879.26,552,30.49,8,4662.44,6893
East Jaintia Hills,1535,0.63,19,7385.04,4331,230.12,15,5245.31,3716
East Khasi Hills,3406,6.48,78,109328.19,42608,3586.28,799,37049.26,32724
North Garo Hills,869,0,0,1428.75,1130,181.57,15,6397.27,8771
Ri Bhoi,1880,1.84,18,19298.62,16176,1068.19,319,29021.1,39003
South Garo Hills,518,0,0,874.47,606,11.51,14,2660.03,4394
South West Garo Hills,817,0,0,2139.61,1815,172.62,37,5677.75,8165
South West Khasi Hills,676,0,0,3265.46,3174,2.04,3,3034.2,3697
West Garo Hills,2608,0,0,10403.96,5966,473.39,140,12847.95,20496
West Jaintia Hills,1948,0.27,4,21124.89,7756,437.68,16,11736.41,8723
West Khasi Hills,1159,0.36,7,8745.45,6880,67.92,5,6971.71,9341
