District,Small Amt,Small No.,Micro Amt,Micro No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Term Loan Amt,Term Loan No.,Crop Amt,Crop No.
Eastern West Khasi Hills,0,0,68.2,83,17.12,2,25.05,93,28.58,93,278.53,714
East Garo Hills,0,0,627.41,961,50.93,71,377.68,1584,18.78,51,565.5,1295
East Jaintia Hills,71.36,5,731.1,175,0.9,1,102.75,240,9.35,24,21.42,45
East Khasi Hills,704.47,64,9572.86,3790,787.69,96,1075.78,714,160.97,354,2204.21,4038
North Garo Hills,9.63,2,508.02,698,53.91,50,539.79,1667,0.17,1,1226.04,2594
Ri Bhoi,594.57,20,1219.7,819,91.31,50,389.74,1490,90.83,358,7548.93,12392
South Garo Hills,0,0,457.16,500,86.62,98,298.5,1203,19.21,38,308.22,904
South West Garo Hills,1.1,1,535.66,382,33.06,18,539.36,2146,30.36,66,993.86,2411
South West Khasi Hills,2.14,2,164.81,81,53.49,49,38.03,97,14.79,7,91.01,171
West Garo Hills,64.97,8,2682.53,2195,209.91,139,659.09,2925,197.81,514,1896.35,4172
West Jaintia Hills,211.26,35,2203.76,903,26.25,31,75.15,251,46.46,100,730.27,1341
West Khasi Hills,12.49,2,843.35,396,0.24,2,95.64,395,43.81,53,1681.97,2737
