District,Total Agri O/S Amt,Total Agri O/S No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Farm Term Loan Credit Amt,Farm Term Loan Credit No.,Farm Crop Credit Amt,Farm Crop Credit No.
Eastern West Khasi Hills,7315.93,9014,117.72,66,1021.46,197,1486.1,778,4690.65,7973
East Garo Hills,6665.97,6846,282.78,311,3108.99,1808,911.5,1309,2362.7,3418
East Jaintia Hills,6527.44,3645,146.12,129,3156.4,357,1920.97,1081,1303.95,2078
East Khasi Hills,145958.42,30085,4527.63,979,118799.24,908,4200.48,3016,18431.07,25182
North Garo Hills,5702.6,7888,433.55,237,1437.84,1877,439.07,263,3392.14,5511
Ri Bhoi,33257.91,40203,1598.96,556,5224.63,1850,3325.71,4910,23108.61,32887
South Garo Hills,3293.19,3988,360.94,269,1444.32,1317,256.53,171,1231.4,2231
South West Garo Hills,5539.82,8249,99.15,42,2100.07,2638,785.57,1110,2555.03,4459
South West Khasi Hills,3330.28,3538,204.03,134,921.31,268,267,179,1937.94,2957
West Garo Hills,16626.71,20833,489.12,314,6090.24,3294,3965.95,8243,6081.4,8982
West Jaintia Hills,20773.69,8004,1211.76,253,13176.65,527,2122.64,1677,4262.64,5547
West Khasi Hills,8275.46,9446,75.78,181,1941.04,563,1178.96,675,5079.68,8027
