District,SHG NPA Amt,SHG NPA No.,SHG O/S Amt,SHG O/S No.,Credit Current Amount FY Linked,Credit Linked No. (Current FY),Savings Current Amount FY Linked,Savings Linked No. (Current FY),Credit During Amount Quarter the Linked,Credit Linked No. (Quarter),Linked Quarter During the Amount Savings,Savings Linked No. (Quarter)
East Garo Hills,3.09,12,156.08,138,221.68,133,2126.76,648,221.7,134,112.78,648
East Jaintia Hills,0.32,6,2693.52,1535,155.5,85,0.57,66,155.5,85,0.57,66
East Khasi Hills,1.03,41,4709.97,2868,410.23,211,304.74,668,410.35,216,304.71,667
North Garo Hills,4.03,13,303.26,239,211.57,138,255.06,1384,211.57,138,255.06,1384
Ri Bhoi,2.7,77,2654.35,1834,178.9,73,163.18,408,175.54,72,157.75,372
South Garo Hills,5.3,44,289,252,53.68,44,230.15,817,54.1,56,230.15,817
West Garo Hills,1.88,119,2574.27,1998,493.51,283,645.29,1891,493.81,289,645.29,1891
West Jaintia Hills,1.35,28,3035.86,1733,267.4,106,162.78,226,267.4,106,162.78,226
West Khasi Hills,0.76,35,2393.27,1138,108.94,41,11.69,75,108.94,41,11.69,75
