District,PMEGP NPA Amt,PMEGP NPA No.,PMEGP O/S Amt,PMEGP O/S No.,PMEGP Disbursed Amt (CY),PMEGP Disbursed No. (CY),PMEGP Sanction Amt (CY),PMEGP Sanction No. (CY)
Eastern West Khasi Hills,4.51,22,561.35,134,21.98,6,49.67,6
East Garo Hills,27.12,103,619.21,195,0.82,3,34.13,17
East Jaintia Hills,3.68,11,716.9,146,19.57,5,17.26,4
East Khasi Hills,16.41,539,9261.42,1807,236.61,59,383.82,57
North Garo Hills,21.64,103,796.09,251,15.49,5,38.63,5
Ri Bhoi,10.64,146,2081.02,600,70.64,40,155.76,42
South Garo Hills,24.88,129,790.16,225,1.79,2,1.87,1
South West Garo Hills,39.48,145,767.39,254,16.11,4,18.69,4
South West Khasi Hills,10.03,37,489.2,158,32.52,6,48.88,4
West Garo Hills,20.92,298,4034.15,938,67.68,16,189.42,54
West Jaintia Hills,9.94,123,2997.07,784,45.4,19,47.29,14
West Khasi Hills,23.17,106,669.64,229,18.17,8,43.57,10
