district,Current Year No. of Female Account,Current Year Sumof Female Amount,Current Year No. of Male Accountto SC,Current Year Sumof Male Amountto SC,Current Year No. of Male Accountto ST,Current Year Sumof Male Amountto ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Bishnupur,0,0.00,0,0.00,0,0.00,0,0.00,4,116.59,1,6.79,5.82
Chandel,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Churachandpur,4,49.00,0,0.00,23,587.69,27,636.69,46,1057.17,5,123.46,11.68
Imphal East,12,197.15,6,17.69,4,21.13,22,235.97,45,644.68,17,178.60,27.70
Imphal West,15,233.15,7,90.32,6,93.02,28,416.49,104,2007.73,41,654.28,32.59
Jiribam,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Kakching,0,0.00,1,23.50,0,0.00,1,23.50,7,141.53,0,0.00,0.00
Kamjong,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Kangpokpi,0,0.00,0,0.00,4,88.00,4,88.00,9,193.68,0,0.00,0.00
Noney,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Senapati,4,89.00,0,0.00,10,314.50,14,403.50,43,746.45,6,51.99,6.96
Tamenglong,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Tengnoupal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Thoubal,13,82.15,2,21.14,0,0.00,15,103.29,17,193.92,0,0.00,0.00
Ukhrul,0,0.00,0,0.00,2,50.00,2,50.00,2,49.73,0,0.00,0.00
