district,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bishnupur,152,50.74,329,572.31,53,392.01,534,1015.06
Chandel,1,0.50,127,236.16,6,40.35,134,277.01
Churachandpur,84,91.34,289,836.28,327,2735.43,700,3663.05
Imphal East,271,158.99,890,1867.17,127,852.86,1288,2879.02
Imphal West,679,614.53,1324,2936.17,363,2324.44,2366,5875.14
Jiribam,14,3.57,20,35.89,5,31.47,39,70.93
Kakching,42,13.31,240,433.99,28,174.26,310,621.56
Kamjong,52,24.67,2,5.00,0,0.00,54,29.67
Kangpokpi,19,6.98,302,1096.87,73,578.87,394,1682.72
Noney,4,1.33,96,198.89,5,32.54,105,232.76
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,19,19.05,278,1005.45,208,1666.47,505,2690.97
Tamenglong,2,1.00,77,204.74,13,98.17,92,303.91
Tengnoupal,15,6.47,49,95.83,2,14.54,66,116.84
Thoubal,103,45.79,776,1280.70,53,383.66,932,1710.15
Ukhrul,53,24.82,184,454.26,27,206.76,264,685.84
