district,BHIM/UPI A/c,BHIM/UP I Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Bishnupur,11426244,302791.3,35025,9860.22,1572,568.45,93270,317562.03,272216,8519.04,65646,1682.92
Chandel,3807852,63389.82,55,350.73,12,0.28,8723,855.25,10492,439.68,35318,1092.05
Churachandpur,22601909,470218.1,1553,286.34,1216,486.93,84522,648106.14,176840,7895.55,124105,2972.86
Imphal East,29580465,798961.7,31631,9801.75,7093,1716.51,411602,1494781.26,619885,34818.05,118819,3075.75
Imphal West,75502198,2018049,12922,7449.38,19547,3515.59,768717,3247841.67,1511542,76762.71,412533,11800.95
Jiribam,3594166,63302.1,59,532.2,3921,20.7,17729,2476.62,30132,1605.73,5024,183.59
Kakching,8546933,226748,15923,3415.12,1860,506.95,101119,665016.87,140832,4691.1,53051,1151.91
Kamjong,571343,10023.88,4,0.3,0,0,0,0,391,4.76,2835,67.68
Kangpokpi,10387477,196899.3,156,8.54,60,59.76,24191,6205.58,45239,1691.02,68984,1924.54
Noney,1292133,31408.95,4127,926.86,4,22.6,2417,375.42,30047,412.92,4441,142.96
Pherzawl,10,34.74,10,34.74,0,0,1,0,0,0,0,0
Senapati,12093002,282111.2,6,0.54,1162,297.08,42996,383851.65,41612,2615.79,66124,1731.92
Tamenglong,2113331,44849.94,111,237.38,0,0,7999,1605.84,46394,2177.86,1645,50.01
Tengnoupal,3214759,82157.86,1372,425.36,329,221.1,12851,556926.34,33727,1184.44,25965,724.58
Thoubal,20875860,473130.6,35643,13168.35,1860,401.55,137773,592741.89,352138,10747.71,71903,1878.56
Ukhrul,7638225,163856.8,2472,717.92,0,0,29395,6198.2,62829,3262.71,35230,988.27
