District,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Bishnupur,226,648.65,227,290.26,3,5.36,12,6.30,2.17
Chandel,0,0.00,2,0.07,0,0.00,2,0.07,100.00
Churachandpur,278,578.30,313,438.00,30,55.67,9,11.02,2.52
Imphal East,498,1204.80,916,1224.73,6,6.14,22,16.43,1.34
Imphal West,477,1036.76,782,1045.75,21,7.61,18,21.75,2.08
Jiribam,9,36.00,57,47.28,9,0.53,0,0.00,0.00
Kakching,176,260.28,248,283.32,12,10.19,3,1.75,0.62
Kamjong,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Kangpokpi,27,86.27,52,105.17,5,0.18,0,0.00,0.00
Noney,67,109.86,70,99.36,0,0.00,6,3.67,3.69
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Senapati,64,127.52,76,139.46,16,15.84,0,0.00,0.00
Tamenglong,0,0.00,1,2.66,0,0.00,0,0.00,0.00
Tengnoupal,119,224.02,160,215.81,12,16.62,16,30.07,13.93
Thoubal,597,1141.00,727,1043.94,45,70.70,94,70.53,6.76
Ukhrul,24,33.00,25,36.15,0,0.00,0,0.00,0.00
