District,Smalland Marginal Farmers No.,Smalland Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,womenbeneficiaries No.,womenbeneficiaries Amt,Minoritycommunities No.,Minoritycommunities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Bishnupur,10042,11798.28,650,892.72,116,324.98,0,0.00,581,470.38,5446,1944.45,681,882.03,31,0.70,1046,1106.59,18593,17420.13
Chandel,194,165.35,4,2.72,389,531.93,0,0.00,2,0.08,149,56.27,494,1005.20,0,0.00,116,132.96,1348,1894.51
Churachandpur,4455,13115.94,39,255.97,3061,8178.60,0,0.00,282,413.40,972,449.41,4010,12823.58,243,0.02,216,298.65,13278,35535.57
Imphal East,9373,15269.75,174,498.26,785,3424.21,1,0.10,994,1293.70,9791,2610.29,970,3377.34,48,0.03,863,1022.59,22999,27496.27
Imphal West,25434,50671.51,629,1989.91,1804,8106.59,5,0.35,893,1056.37,9997,3327.96,1497,8816.46,164,211.98,1720,2826.05,42143,77007.18
Jiribam,239,417.71,11,20.42,7,3.09,0,0.00,39,21.37,82,20.23,18,50.14,0,0.00,10,17.24,406,550.20
Kakching,3026,6633.35,1697,3702.74,170,251.39,0,0.00,244,246.21,1645,483.05,125,252.41,0,0.00,339,432.78,7246,12001.93
Kamjong,14,14.73,0,0.00,15,5.96,0,0.00,0,0.00,44,15.43,96,84.50,0,0.00,1,2.01,170,122.63
Kangpokpi,863,1657.16,73,352.77,742,1803.14,0,0.00,42,91.88,376,166.80,1288,3686.71,1,247.90,129,153.09,3514,8159.45
Noney,678,1164.12,6,8.04,788,902.72,3,0.39,100,126.78,175,90.44,867,1090.39,1,0.00,9,13.59,2627,3396.47
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,2602,4413.74,0,0.00,847,1839.26,0,0.00,96,232.12,912,440.47,2581,7199.63,0,0.00,176,228.46,7214,14353.68
Tamenglong,1772,9717.34,0,0.00,271,620.74,12,0.79,10,13.32,81,30.02,447,1368.63,4,0.00,27,26.72,2624,11777.56
Tengnoupal,914,1735.30,20,79.48,1041,1315.92,0,0.00,123,119.48,295,169.54,868,1011.81,4,4230.13,73,121.37,3338,8783.03
Thoubal,9065,15780.53,244,466.42,123,209.25,1,0.10,913,1222.78,6509,1806.24,1932,2402.97,135,30103.06,633,773.05,19555,52764.40
Ukhrul,1873,8278.01,1,14.15,1479,2006.97,0,0.00,54,58.94,235,95.07,492,1084.52,0,0.00,107,179.86,4241,11717.52
