District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,CDR Rural,CDR Semi Urban,CDR Urban,Overall CD Ratio
Bishnupur,2722.02,47080.78,0.00,49802.80,7087.27,61635.79,3969.98,72693.04,260.37,130.91,,145.96
Chandel,15344.93,0.00,0.00,15344.93,21912.90,18.54,158.82,22090.26,142.80,,,143.96
Churachandpur,129645.22,4718.64,0.00,134363.86,107311.38,2745.58,1215.68,111272.64,82.77,58.19,,82.81
Imphal East,136182.37,14931.38,57593.67,208707.42,112162.43,8031.57,53177.85,173371.85,82.36,53.79,92.33,83.07
Imphal West,39375.41,52673.01,968473.24,1060521.66,40622.81,61544.74,621032.30,723199.85,103.17,116.84,64.12,68.19
Jiribam,15683.46,219.36,0.00,15902.82,5377.66,187.10,0.00,5564.76,34.29,85.29,,34.99
Kakching,980.51,26832.37,0.00,27812.88,1448.77,43790.60,0.00,45239.37,147.76,163.20,,162.66
Kamjong,1303.37,0.00,0.00,1303.37,1737.29,0.00,0.00,1737.29,133.29,,,133.29
Kangpokpi,43339.84,0.00,0.00,43339.84,36727.99,0.00,0.00,36727.99,84.74,,,84.74
Noney,5459.73,0.00,0.00,5459.73,4436.13,0.00,0.00,4436.13,81.25,,,81.25
Pherzawl,15.21,0.00,0.00,15.21,0.00,0.00,0.00,0.00,0.00,,,0.00
Senapati,55613.22,1383.53,0.00,56996.75,52249.74,1053.85,0.00,53303.59,93.95,76.17,,93.52
Tamenglong,1083.86,14932.51,0.00,16016.37,336.02,11588.07,0.00,11924.09,31.00,77.60,,74.45
Tengnoupal,6591.94,7039.25,0.00,13631.19,13206.36,4586.46,0.00,17792.82,200.34,65.16,,130.53
Thoubal,11416.43,47043.06,0.00,58459.49,17917.65,77518.91,5431.18,100867.74,156.95,164.78,,172.54
Ukhrul,2328.02,38464.83,0.00,40792.85,4474.32,22208.75,0.00,26683.07,192.19,57.74,,65.41
