District,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,OPS Total O/S No.,OPS Total O/S Amt
Bishnupur,0,0,36,93.73,391,3381.69,0,0.00,1,4.76,1873,862.93,2301,4343.11
Chandel,0,0,11,32.42,52,679.37,0,0.00,0,0.00,63,74.55,126,786.34
Churachandpur,0,0,89,225.97,346,3852.05,0,0.00,0,0.00,226,222.74,661,4300.76
Imphal East,0,0,162,525.66,789,5847.88,1,18.34,5,7.91,5532,1206.55,6489,7606.34
Imphal West,0,0,692,2950.73,2247,21667.99,3,131.43,54,92.09,3213,941.27,6209,25783.51
Jiribam,0,0,1,0.48,3,20.06,0,0.00,0,0.00,105,42.29,109,62.83
Kakching,0,0,29,75.46,129,1673.78,2,28.55,0,0.00,530,207.95,690,1985.74
Kamjong,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Kangpokpi,0,0,17,60.60,89,1244.24,0,0.00,0,0.00,37,22.82,143,1327.66
Noney,0,0,4,8.07,0,0.00,0,0.00,0,0.00,0,0.00,4,8.07
Pherzawl,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,0,0,54,189.83,140,1993.61,0,0.00,0,0.00,325,144.37,519,2327.81
Tamenglong,0,0,9,20.88,7,78.45,0,0.00,0,0.00,2,0.03,18,99.36
Tengnoupal,0,0,4,24.37,39,544.53,0,0.00,0,0.00,4,25.55,47,594.45
Thoubal,0,0,70,251.23,518,4728.32,0,0.00,5,1.30,3628,714.57,4221,5695.42
Ukhrul,0,0,11,26.45,10,72.08,0,0.00,0,0.00,192,131.14,213,229.67
