District,Bank Name,Agriculture No.,Amt,MSME (NPS) No.,Exp Credit No.,Education (NPS) No.,Housing (NPS) No.,Personal Loans No.,Others NPS No.,Total ACP (NPS) No.
Bishnupur,,1,21193.25,0,0,1,124,1125,2689,3940
Chandel,,0,9397.91,0,0,0,43,44,1112,1199
Churachandpur,,2,34934.14,0,0,0,216,724,3870,4812
Imphal East,,2,55487.74,0,0,9,366,3008,7232,10617
Imphal West,,97,236756.01,4,0,70,1609,13125,25454,40359
Jiribam,,0,2058.72,0,0,0,2,69,159,230
Kakching,,0,13844.76,0,0,0,158,1355,1300,2813
Kamjong,,0,882.15,0,0,0,0,3,88,91
Kangpokpi,,1,12965.13,0,0,2,54,183,1413,1653
Noney,,0,1720.35,0,0,0,0,50,100,150
Pherzawl,,0,0.00,0,0,0,0,0,0,0
Senapati,,0,14878.75,0,0,0,73,164,1699,1936
Tamenglong,,0,4662.08,0,0,0,1,295,73,369
Tengnoupal,,0,5631.91,0,0,0,22,75,611,708
Thoubal,,1,28132.76,0,0,1,305,947,4777,6031
Ukhrul,,0,10457.09,0,0,0,4,287,795,1086
